旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
帝國大旅社,桃園市中壢區中正路15號11樓-1,03-4268181,-,14間,NT$800-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
僑愛大旅社,桃園市大溪區介壽路343號,03-3802992,-,12間,NT$800-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
佳美旅館,桃園市中壢區新興路120號,03-4590129,-,18間,NT$880-880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),880,-
裕國大旅社,桃園市桃園區大同路66號,03-3325536,-,24間,NT$880-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),880,-
歐馨賓館,桃園市桃園區民族路186號,03-3340679,-,20間,NT$900-900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),900,-
金城大旅社,桃園市中壢區興農路91號,03-4550734,-,8間,NT$900-900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),900,-
新秀山賓館,"桃園市桃園區大同路75,77號2-3樓",03-3323112,-,30間,NT$900-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),900,-
緣心,桃園市龍潭區佳安西路4巷97號2樓,0975-853890,-,3間,NT$950-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),950,-
蓮園商務旅館,桃園市中壢區中美路二段153號5-7樓,03-4258163,-,47間,NT$980-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),980,-
名仕旅舘,桃園市中壢區新興路242號1-6樓,03-4574533,-,50間,NT$980-1580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),980,-
怡香商務旅館,"桃園市中壢區中美路二段153號6樓之12,14",03-4253839,-,17間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
信大賓館,桃園市中壢區中正路15號6樓-1,03-4224955,-,18間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
大世界賓舘,桃園市八德區長興路516號1-2樓,03-3684742,-,13間,NT$1080-1380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1080,-
雀巢大飯店,桃園市桃園區長壽街5號之1,03-3365800,-,38間,NT$1170-1460(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1170,-
大嵙涵河岸民宿,桃園市大溪區月眉里13鄰月湖路80號,03-3888377,-,5間,NT$1200-1300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
三和旅宿,桃園市桃園區中山東路9號8樓之5,03-3352542,-,10間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
孔雀大旅社,桃園市大溪區介壽路904號2-3樓,0980-339976,-,13間,NT$1200-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
桃園機場羅里濱海輕旅,桃園市蘆竹區海港路61巷66號,0926-950228,-,4間,NT$1200-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
周家渡假旅館,桃園市復興區華陵村10鄰巴崚113號1樓,03-3912125,-,14間,NT$1200-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
龍都旅社,桃園市龍潭區中興路63巷6號,03-4791926,-,7間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
愛聚主題旅館,桃園市平鎮區中豐路269巷2號2-3樓,03-4583377,-,18間,NT$1300-1300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
香格里拉旅館,桃園市楊梅區元化街1、2號1-2樓,03-4814462,-,43間,NT$1300-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
中壢大飯店,桃園市中壢區延平路645號4-11樓,03-4222800,http://www.chungli-business-hotel.com.tw,70間,NT$1300-4180(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
麗莊汽車旅館,桃園市中壢區復華街269號1-2樓,03-4345988,-,25間,NT$1300-1680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
桂冠旅館,桃園市中壢區裕民街24號2-3樓,03-4221022,-,40間,NT$1380-1780(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1380,-
銀河渡假飯店,桃園市中壢區新興路194巷5號2-6樓,03-4598881,-,57間,NT$1380-1490(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1380,-
長緹都會商務旅館,桃園市中壢區新興路198號7-9樓,03-4598822,-,29間,NT$1380-1580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1380,-
愛登堡汽車旅館,桃園市觀音區二聖路87號2-3樓,03-4389222,-,39間,NT$1380-1380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1380,-
欣桃大旅社,桃園市桃園區復興路180號8-10樓,03-3331131,-,57間,NT$1400-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
曖時租旅館,桃園市桃園區中正路56號8樓,03-3373131,https://www.168inn.com.tw/zh-tw/,28間,NT$1430-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1430,-
碧雲天汽車旅館(大溪館),桃園市大溪區仁一街49號1至2樓,03-3803399,-,43間,NT$1500-2580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
環寶賓館,桃園市桃園區大同路61號,03-3320588,-,25間,NT$1500-2560(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
101民宿,桃園市復興區三民里13鄰大窩路101號,03-2173606,-,3間,NT$1500-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
樸隄商務旅館,桃園市龍潭區中豐路上林段506、508、510號2樓,03-4097255,-,8間,NT$1500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
松鶴汽車旅館,桃園市龜山區公西村文化二路56號2樓,03-3289177,-,40間,NT$1580-1680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1580,-
豪登堡汽車旅館,桃園市新屋區中華路399巷16號,03-4971700,-,38間,NT$1580-1580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1580,-
寶山旅社,桃園市中壢區中正路16號2-4樓,03-4223284,-,20間,NT$1600-2480(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
夢香時尚汽車旅館,"桃園市平鎮區北興里興埔路169巷118弄1-3,5-7,9-13,15-22號2樓共19戶",03-4583171,-,39間,NT$1600-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
機場背包客工作室,桃園市大園區三民路二段106巷12號,0978-777988,-,5間,NT$1600-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
嘉仕特飯店,桃園市桃園區中山路203號1-9樓,03-3343999,http://www.jiashite.com.tw,81間,NT$1600-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
康莊蓮園民宿,桃園市觀音區大堀里4鄰大富路280巷29弄68號,03-4081517,-,4間,NT$1600-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
比佛利商務汽車旅館,桃園市蘆竹區南山路一段97-9號1-2樓,03-3218688,-,56間,NT$1680-3680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
溫情賓館,桃園市桃園區中正路56-6號7樓,03-3359961,-,18間,NT$1680-1680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
亞典春天汽車旅館,桃園市龜山區華美街21號,03-3509799,-,27間,NT$1680-2080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
秘密花園汽車旅館,桃園市蘆竹區長興路一段100號2樓,03-3111900,-,26間,NT$1680-2280(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
育松園商旅,桃園市中壢區中央西路一段1號5樓,03-2806096,-,9間,NT$1780-1780(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1780,-
碧雲天汽車旅館(龜山館),桃園市龜山區萬壽路一段195號2樓,02-82000999,http://www.bluesky.com.tw,59間,NT$1780-1980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1780,-
天鵝湖汽車旅館,桃園市龜山區萬壽路一段379號2-3樓,02-82002000,http://www.swanlake-motel.com/,38間,NT$1780-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1780,-
福隆大旅社,桃園市中壢區中平路16號,03-4222182,http://www.holidayhotel.48h.tw/,38間,NT$1800-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
君洋城堡旅館,桃園市楊梅區環東路110巷15弄2、6、8號,03-4853000,http://ep-hotel.com/index.htm,81間,NT$1800-5980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
貝克漢汽車旅館,桃園市蘆竹區桃園街97號,03-2127788,http://www.beckham.com.tw,34間,NT$1880-2480(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1880,-
京典商務旅館,"桃園市桃園區中正路60號9樓之14-18,20-33,35,37",03-3381501,-,39間,NT$1880-3980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1880,-
一九一旅店桃園店,桃園市桃園區中華路12之4號5樓,03-3336767,-,47間,NT$1880-7800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1880,-
新格旅館,桃園市桃園區寶山街296號1-6樓,03-3550737,-,64間,NT$1880-2680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1880,-
亞都商務旅館,桃園市八德區忠孝街23號4樓,03-3666814,-,21間,NT$1980-3280(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1980,-
中興商旅,桃園市中壢區中建里中央西路一段11號4樓,03-4251350,-,24間,NT$1980-3300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1980,-
和平92共室,桃園市大溪區和平路92號,03-3872963,-,2間,NT$2000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
東眼山農場,桃園市復興區霞雲村5鄰佳志20號,03-3821198、0926-223828,-,4間,NT$2000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
福昇商旅,桃園市桃園區中山東路51號10樓之1-5,03-3339222,-,46間,NT$2000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,2
瑞士鄉村,桃園市復興區三民村1鄰水管頭13-2號,03-3822380,http://033822380.emmm.tw/,2間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
老屋瓦民宿,桃園市龍潭區佳安西路4巷92弄1號,0919-383600,https://www.facebook.com/%E8%80%81%E5%B1%8B%E7%93%A6%E5%85%B1%E4%BA%AB%E6%B0%91%E5%AE%BF-101951158148484/,3間,NT$2000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
逸雲莊,桃園市大溪區康莊路三段583巷270號,03-3880761,-,3間,NT$2000-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
富仙境,桃園市復興區華陵里8鄰巴崚31號,03-3912115,-,5間,NT$2000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
怡和飯店,桃園市桃園區民富九街96號1-7樓,03-3555999,http://www.hotelehome.com,78間,NT$2000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
花語旅館,"桃園市桃園區復興路22,24號2-5樓",03-3327369,http://hotel.kong.tw,40間,NT$2080-2280(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2080,-
黃金海岸商務旅舘,桃園市觀音區草漯村六合街16號1-2樓,03-4389999,http://www.gold-coast.com.tw,36間,NT$2080-2880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2080,2
邁阿密旅館,桃園市桃園區同德五街119巷7-23號(單號)1-2樓,03-3250086,https://zh-tw.facebook.com/myhoneymotel/,16間,NT$2180-2180(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2180,-
達觀山莊,桃園市復興區華陵村7鄰巴崚27號1-3樓,03-3912119,http://dakung.okgo.tw/,16間,NT$2200-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2200,-
麗華商務大飯店,桃園市桃園區復興路81號1、4至7樓,03-3324162,-,76間,NT$2200-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2200,-
原鶴旅館,桃園市桃園區雙峰路122號1-6樓,03-3558833,-,36間,NT$2240-2850(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2240,-
喜星經典旅館,桃園市桃園區介壽路24號1-4樓,03-3663010,-,18間,NT$2250-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2250,-
賓士旅館,桃園市中壢區新興路256、258號1-4樓,03-4595466,-,23間,NT$2280-3080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2280,-
貴都城市商旅,桃園市中壢區元化路245-1、245-2號4、5樓,03-4336169,-,32間,NT$2280-3280(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2280,-
悠悅旅館,桃園市新屋區中山東路二段536號,03-4201678,https://uyamotel.com/,33間,NT$2280-3980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2280,-
人客旅館,桃園市大溪區埔頂路一段50號、50-1號至50-30號2樓,03-3800666,http://www.langkei.com.tw,30間,NT$2350-2520(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2350,-
松雨汽車旅館,桃園市八德區東勇街37號,03-3771188,http://www.pines-rain.com/,46間,NT$2380-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2380,-
美堤時尚旅店,桃園市中壢區健行路7號,03-4282929,-,37間,NT$2400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2400,-
雅舍輕旅,桃園市龍潭區渴望路205巷46號1至8樓,03-4071659,-,120間,NT$2400-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2400,-
晚安旅店,桃園市楊梅區新農街6號6-7樓,03-4881077,-,61間,NT$2400-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2400,-
松林渡假山莊,桃園市復興區華陵里9鄰巴崚63號,03-3912600,-,5間,NT$2400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2400,-
雲享棧,桃園市復興區華陵里14鄰巴崚156-5號,0978-939092,-,5間,NT$2400-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2400,-
長庚會館,桃園市龜山區文昌三街89號,03-3962929,http://www.cghostel.com.tw,37間,NT$2400-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2400,-
住福旅店,桃園市中壢區中美路二段117號7樓及7樓之1,03-4250810,-,26間,NT$2480-2480(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2480,-
以琳商務旅館,桃園市中壢區興國里中美路二段117號6樓,03-4253658,-,28間,NT$2480-3080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2480,-
伊甸園精緻旅店,桃園市中壢區中美路二段117號5樓、5樓之1、8樓及8樓之1至之4,03-4253300,-,36間,NT$2480-3080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2480,-
新棧汽車旅館,桃園市龜山區文化三路37巷29之1號,03-3184568,-,33間,NT$2480-2480(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2480,-
俠雲山莊,桃園市復興區華陵里10鄰巴崚143-5號,03-3912901,-,5間,NT$2500-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2500,-
嶺鎮渡假木屋,桃園市復興區華陵里14鄰巴崚145-3號,03-3912945,https://lj.okgo.tw/,5間,NT$2500-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2500,-
象山農場,桃園市復興區義盛里6鄰下宇內65號,03-3822970,http://siang-shan.ho.net.tw/,5間,NT$2600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2600,-
一品商務飯店,桃園市桃園區復興路98號11樓,03-3362011,-,38間,NT$2600-5380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2600,-
新舍商旅-中壢館,桃園市中壢區中央西路一段120號30樓,03-4226556,https://www.discoverygroup.com.tw/brand-detail/xinshehotel-chungli/,49間,NT$2680-5080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2680,-
沐慕精品旅館,桃園市龜山區萬壽路二段759號,03-3207516,http://www.chuto.com.tw/exec/msg.php?mid=106&cid=2&mod=show&pid=106&lg=T,25間,NT$2700-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2700,-
蓮園旅舘桃園店,桃園市桃園區朝陽街5號1至9樓,03-3366841,-,54間,NT$2800-5380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
皇冠商務汽車旅館,桃園市桃園區莊敬路一段150號,03-3266066,https://www.ifmotel.com.tw/,47間,NT$2800-9500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
三揚精品商旅,桃園市平鎮區民族路二段159號,03-4913999,http://www.hotelin.com.tw,64間,NT$2800-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
大都會旅館,桃園市桃園區益壽八街5號3-8樓,03-2173000,-,60間,NT$2800-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
爵起商務飯店,桃園市桃園區民權路106巷3號1-7樓,03-3381729,-,72間,NT$2800-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
愛之星汽車旅館,桃園市龜山區文化二路50號2-3樓,03-3180888,-,38間,NT$2800-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
福緣山莊,桃園市復興區華陵村11鄰180-7號,03-3912090,http://www.fu-yam.com,5間,NT$2800-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
新南一二文創商行,桃園市大溪區中山路12號,03-3884466,http://www.facebook.com/sinnan12/,2間,NT$2800-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
大溪老城民宿,桃園市大溪區東一路37號,0955-884963,-,5間,NT$2800-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
拉拉山熊居農莊,桃園市復興區華陵里8鄰巴崚32之1號,0934-369339,-,5間,NT$2800-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
草漯居,桃園市觀音區福二街46號,0982-158770,-,5間,NT$2800-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
薇恩時尚旅店,桃園市中壢區永嘉街98號1~2樓、中美路2段153號3樓之6、4~7樓之8,03-4221901,-,36間,NT$2800-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
峇里島汽車旅館,桃園市中壢區中北路2段437巷1號,03-4598989,https://www.balimotel1437.com.tw,38間,NT$2800-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2800,-
凱富旅館,桃園市桃園區龍壽街84號1-7樓,03-3795208,-,24間,NT$2880-3880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2880,-
恋情汽車旅館,桃園市桃園區天祥五街42號2樓,03-3581155,http://lovemotel.jthotel.com.tw/jt-hotel/front/bin/home.phtml,33間,NT$2880-2880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2880,-
金樺旅舘,"桃園市中壢區復華里長興街55巷1,2,3,5-18,20號",03-4627935,-,46間,NT$2900-3460(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2900,-
維多莉雅民宿,桃園市大溪區順和路39號,03-3871077,http://victoriacottage.okgo.tw/,5間,NT$2900-18000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2900,-
摩斯汽車旅館,桃園市中壢區中園路75號,03-4351919,http://www.mosmotel.com.tw/,38間,NT$2980-7180(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2980,-
凱虹汽車旅舘,桃園市龍潭區中正路506號2樓,03-4995757,-,41間,NT$2980-5980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2980,-
東楓MOTEL,桃園市龜山區文化二路52巷66號1-3樓,03-3185868,http://www.dongfengmotel.com.tw,27間,NT$3000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3000,-
桃山渡假農場,桃園市復興區華陵村11鄰巴崚156-7號,03-3912259,https://peach.okgo.tw/,5間,NT$3000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3000,-
ㄚ昌伯民宿,桃園市觀音區上大里2鄰大湖路一段1185巷8號,03-4904140,-,5間,NT$3000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3000,-
鴻福優雅商旅,桃園市中壢區忠勤街15號,03-4626857,-,20間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3000,-
高鐵背包客,桃園市中壢區東芝路161巷16號,0933-269530,-,5間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3000,-
巷裡閑,桃園市大溪區后尾三橫巷2號,0912-566089,-,1間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3000,-
旭美莊園,桃園市復興區華陵里11鄰巴崚180之12號,0922-241898,-,3間,NT$3000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3000,-
觀雲休憩農莊,桃園市復興區華陵里14鄰中心路210巷19號,0910-061353,https://guanyun.okgo.tw/,4間,NT$3000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3000,-
薔薇谷,桃園市復興區華陵里11鄰巴崚180之14號,0960-747504,-,3間,NT$3000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3000,-
三好莊園,桃園市復興區華陵里14鄰巴崚160之5號,0988-033749,-,4間,NT$3000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3000,-
拓荒者木屋,桃園市復興區華陵里13鄰巴崚189之11號,0981-536461,-,5間,NT$3000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3000,-
