旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
二伯公ㄟ厝,南投縣鹿谷鄉清水村外城巷6-3號,0919-859921,-,2間,NT$1100-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
林家莊民宿,南投縣鹿谷鄉竹林村田頭巷8-5號,049-2676904,-,4間,NT$1100-3300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
阿杰ㄟ厝民宿,南投縣鹿谷鄉清水村外城巷6-1號,049-2671246,-,3間,NT$1100-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
中國城茶藝民宿,南投縣鹿谷鄉初鄉村中正路三段46巷20號,049-2750597,-,5間,NT$1200-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
嵐軒休閒(特色民宿),南投縣鹿谷鄉彰雅村仁義路84-9號,049-2754016,-,5間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
松鶴園賓館,南投縣魚池鄉水社村中山路137號,049-2855364,-,22間,NT$1200-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
明萱茶園,南投縣鹿谷鄉鹿谷村仁義路148號,049-2753509,-,4間,NT$1200-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
寶島旅社,南投縣水里鄉城中村城福街49號,049-2770159,-,13間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
海怪景觀民宿,南投縣仁愛鄉大同村仁和路210-2號,049-2803005,-,5間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
華崗高海拔避暑渡假村,南投縣仁愛鄉翠華村華崗97-2號,04-25960067,-,4間,NT$1200-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
蔡姐的家,南投縣集集鎮玉映里玉映巷15號,049-2764809,-,4間,NT$1200-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
日月住館,南投縣魚池鄉水社村中山路116號,049-2855983,-,19間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
阿米倫秘境渡假民宿,南投縣仁愛鄉法治村界山巷82號,0966-630365,-,3間,NT$1200-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
以馬內利農莊民宿(特色民宿),南投縣仁愛鄉大同村13鄰信義巷37號,049-2801077,http://www.emmanuel.com.tw/,14間,NT$1300-7500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
埔里背包客之家,南投縣埔里鎮北安里22鄰東榮路303巷6號,0931-347432,-,3間,NT$1300-3360(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
小半天ㄟ厝民宿,南投縣鹿谷鄉竹林村愛鄉路121-1號,049-2676468,-,4間,NT$1300-1300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
曼哈頓汽車旅館,南投縣草屯鎮登輝路212號,049-2564009,-,22間,NT$1330-1330(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1330,-
森之屋民宿,南投縣埔里鎮桃米里桃米巷5-5號,049-2917962,-,4間,NT$1400-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
馨蓮鄉居,南投縣魚池鄉大雁村大雁巷41-1號,049-2899911,-,4間,NT$1400-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
羿昀居,南投縣鹿谷鄉永隆村堀邊巷1-1號,049-2754853,-,5間,NT$1400-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
島中央,南投縣埔里鎮西門里22鄰中正四路6號,049-2993396,-,4間,NT$1400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
紅瓦厝山居民宿,南投縣埔里鎮桃米里種瓜路52號,049-2911683,http://www.red-villa.com.tw/,5間,NT$1500-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
埔里森の屋旅宿,南投縣埔里鎮枇杷里42鄰樹人二街238號,049-2986079,-,3間,NT$1500-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
豊閣民宿,南投縣鹿谷鄉竹林村愛鄉路101-10號,049-2676368,http://shop.okgo.tw/7295/,3間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
來來休閒民宿,南投縣鹿谷鄉竹豐村中湖巷28-6號,049-2676182,-,3間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
稻香亭民宿,南投縣魚池鄉大林村金天巷11號,049-2896915,-,5間,NT$1500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
小野柳民宿,南投縣國姓鄉乾溝村9鄰中西巷6-6號,049-2721822,-,4間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
麗鈴民宿,南投縣鹿谷鄉竹林村田頭巷54-36號,049-2677090,-,5間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
楓之谷民宿(特色民宿),南投縣仁愛鄉親愛村大安路119號,049-2974709,-,8間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
大人凍五哥民宿,南投縣竹山鎮田子里大林巷1-25號,049-2652152,http://fivebrothers.meworks.cc/,5間,NT$1500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
溪之谷民宿,南投縣鹿谷鄉內湖村興產路32-6號,049-2753976,-,5間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
綠園汽車旅館,南投縣南投市文化路46號,049-2200169,-,22間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
鳳凰渡假山莊,南投縣鹿谷鄉鳳凰村田底巷10-30號,049-2752418,-,5間,NT$1500-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
小半天民宿,南投縣鹿谷鄉竹林村田頭巷34-13號,049-2676345,-,4間,NT$1500-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
漢臣民宿,南投縣鹿谷鄉竹豐村中湖巷28-1號,049-2676800,-,4間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
PAPA.VILLA,南投縣魚池鄉魚池村瓊文巷36-36號,0928-671698,-,2間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
小旅慢行,南投縣竹山鎮橫街60號,0905-593671,-,1間,NT$1500-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
江澤休閒民宿,南投縣竹山鎮下坪里下坪路199號,049-2658761,http://jiangtzer.mmmtravel.com.tw,5間,NT$1520-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1520,-
竹山旅社,南投縣竹山鎮中山里竹山路169號,049-2642101,http://jhushanhotel.okgo.tw/,10間,NT$1600-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
谷欣民宿,南投縣鹿谷鄉竹林村愛鄉路121-6號,049-2676446,http://shop.okgo.tw/5055/,2間,NT$1600-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
這里輕旅HereHostelPuli,南投縣埔里鎮清新里13鄰英六街2-1號,0953-705080,-,4間,NT$1600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
影拾光民宿,南投縣埔里鎮清新里21鄰新民街2-1號,0932-950730,-,4間,NT$1600-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
明谷山莊,南投縣鹿谷鄉竹林村光復路174-67號,049-2677389,-,4間,NT$1600-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
雅園民宿,南投縣鹿谷鄉竹豐村光復路52-10號,049-2676866,-,4間,NT$1600-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
清境西雅圖山莊,南投縣仁愛鄉大同村榮光巷39號,049-2803123,-,4間,NT$1600-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
春陽第四班民宿,南投縣仁愛鄉春陽村虎門巷54之1號,0910-583572,-,5間,NT$1600-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
茶米香民宿,南投縣名間鄉松山村松嶺街237-1號,049-2580023,http://www.teafragrance.com.tw/home.php,3間,NT$1700-1700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1700,-
金谷豐別館,南投縣埔里鎮南昌街285號,049-2984047,-,50間,NT$1800-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
三茅屋民宿,南投縣埔里鎮桃米里桃米巷5-6號,049-2912146,-,4間,NT$1800-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
若瑟桃米民宿(特色民宿),南投縣埔里鎮桃米里桃米巷59號,049-2915133,-,10間,NT$1800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
喬園山莊,南投縣國姓鄉南港村鳳鳴巷5-2號,049-2452311,-,4間,NT$1800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
伊露民宿,南投縣仁愛鄉新生村山林巷116號,049-2941672,-,4間,NT$1800-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
隨緣居民宿,南投縣埔里鎮牛眠里8鄰守城路38號,0931-451222,-,4間,NT$1800-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
里山城居民宿,南投縣水里鄉水里村7鄰水里路92號,0922-320822,https://www.facebook.com/pages/category/Product-Service/%E9%87%8C%E5%B1%B1%E5%9F%8E%E5%B1%85-357856391452853/,4間,NT$1800-2300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
空空,南投縣國姓鄉北港村長北路47-8號,0928-315989,https://conconstay.com,4間,NT$1800-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
璞石雅緻民宿,南投縣鹿谷鄉鹿谷村鹿彰路202號,049-2755070,-,5間,NT$1800-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
松林,南投縣竹山鎮大鞍里3鄰竹寮巷8號,0928-455812,-,3間,NT$1800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
清境驛棧民宿,南投縣仁愛鄉大同村仁和路210號,049-2801158,-,5間,NT$1800-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
富泉民宿,南投縣埔里鎮蜈蚣里鯉魚路28-10號,049-2988187,-,3間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
富邦大飯店,南投縣南投市民族路232號,049-2222158,-,19間,NT$1800-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
盧園民宿,南投縣魚池鄉大雁村大雁巷39-6號,049-2898367,http://luyuan367.pixnet.net/blog,5間,NT$1800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
日月花嫁渡假屋,南投縣魚池鄉大林村永川巷24-1號,049-2897067,-,5間,NT$1800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
三合院民宿,南投縣魚池鄉頭社村平和巷102號,049-2861566,-,5間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
翡翠山莊,南投縣埔里鎮合成里北村路81號,0928-735740,-,5間,NT$1800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
梵妮民宿,南投縣埔里鎮枇杷里4鄰和二街2號,0939-587158,-,2間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
江山樂活,南投縣埔里鎮桃米里8鄰水上巷68號,0928-196895,-,3間,NT$1800-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
船山塾民宿,南投縣埔里鎮愛蘭里9鄰梅村路267號,0932-500876,-,5間,NT$1800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
星井澤民宿,南投縣鹿谷鄉後溝巷47號,0979-586838,-,5間,NT$1800-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
背包智旅,南投縣南投市彰南路一段387號,0903-239123,-,1間,NT$1880-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1880,-
伍伍七,南投縣竹山鎮桂林里大同街93號,0939-906677,-,4間,NT$1880-2580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1880,-
山王大飯店,南投縣埔里鎮中山路二段399號,049-2900227,-,177間,NT$1900-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1900,-
溫美汽車旅館,南投縣南投市平山一路3街9號,049-2262777,-,24間,NT$1950-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1950,-
林中林民宿,南投縣埔里鎮向善里觀音路75-1號,049-2914310,-,8間,NT$1980-1980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1980,-
鳳誼製茶民宿,南投縣鹿谷鄉鳳凰村2鄰鳳園路11號,049-2755778,http://blog.xuite.net/ncpsa/ps/61630974,5間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
佳園渡假民宿,南投縣埔里鎮桃米里2鄰桃米巷6-8號,049-2914899,-,5間,NT$2000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
集集農場民宿,南投縣集集鎮集集里環山街270巷42號,049-2762466,-,2間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
月伴農莊民宿,南投縣魚池鄉大林村嵩山巷8-1號,049-2898537,-,3間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
澀水田園民宿,南投縣魚池鄉大雁村大雁巷45-1號,049-2896530,-,5間,NT$2000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
東光知性,南投縣魚池鄉東光村興善巷57-3號,049-2880696,-,4間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
漫漫耕恬民宿,南投縣埔里鎮桃米里水上巷33號,0919-899822,-,2間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
名蘭民宿,南投縣仁愛鄉大同村仁和路1-3號,049-2802251,-,5間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
名人大飯店,南投縣魚池鄉水社村中山路138號,049-2855338,https://minrenhotel.okgo.tw,20間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
桂林休閒山莊民宿(特色民宿),南投縣仁愛鄉大同村博望巷9-8號,049-2803956,http://www.twguilin.com/,10間,NT$2000-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
大鞍吳家古厝民宿,南投縣竹山鎮大鞍里頂林路570號,049-2841047,http://sites.google.com/view/daanhouse,2間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
武界雲海民宿,南投縣仁愛鄉法治村7鄰武安路3-2號,049-2977180,-,3間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
綠野鄉居民宿,南投縣魚池鄉大雁村大雁巷47-5號,049-2899132,http://country-life.nantou.com.tw/,5間,NT$2000-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
竹風民宿,南投縣鹿谷鄉竹豐村光復路56-13號,049-2677136,-,4間,NT$2000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
集野家民宿,南投縣集集鎮文心街22巷30號,0939-190977,http://jijihouse.party,3間,NT$2000-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
原夢觀光農園民宿,南投縣仁愛鄉南豐村松原巷80號,049-2920581,-,3間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
布拉格汽車旅館,南投縣南投市三興里文化南路233巷19號,049-2223699,-,25間,NT$2000-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
山水雅筑民宿,南投縣魚池鄉中明村有水巷4之1號,049-2896198,-,8間,NT$2000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
景祥溫泉民宿,南投縣信義鄉東埔村開高巷62號,049-2702100,-,3間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
清友山莊,南投縣仁愛鄉翠華村華岡50-1號,049-2801039,-,4間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
達瑪勞翁民宿,南投縣信義鄉雙龍村光復巷71-3號,049-2742148,-,5間,NT$2000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
綠湖別莊民宿,南投縣埔里鎮水頭里中正路121-10號,09-05305910,-,5間,NT$2000-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
凍頂山莊(特色民宿),南投縣鹿谷鄉彰雅村凍頂巷7-3號,0989-841407,-,10間,NT$2000-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
桃米5211民宿(特色民宿),南投縣埔里鎮桃米里5鄰桃米巷52-11號,049-2912776,-,15間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
農昌民宿,南投縣竹山鎮竹山里下橫街48-4-1號,049-2646633,-,5間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
華崗奇來谷民宿,南投縣仁愛鄉翠華村華崗80-1號,04-25960555,http://www.huagang.idv.tw,5間,NT$2000-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
風櫃梅休閒民宿,南投縣集集鎮和平里初中一街356號,049-2761633,-,4間,NT$2000-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
鄉村民宿,南投縣國姓鄉北港村北原路59-1號,049-2461773,-,4間,NT$2000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
月桃香民宿,南投縣中寮鄉內城村月桃巷81-6號,0963-101481,-,5間,NT$2000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
薇勝客居,南投縣魚池鄉新城村通文巷48-3號,049-2897818,-,5間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
雙龍客棧民宿,南投縣信義鄉雙龍村3鄰光復巷34-3號,0982-082836,-,4間,NT$2000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
歐瑪魯,南投縣國姓鄉長北路90-2號,0958-566731,-,4間,NT$2000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
御園民宿,南投縣鹿谷鄉永隆村堀邊巷1-3號,049-2755367,-,2間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
合歡仙境民宿(特色民宿),南投縣仁愛鄉大同村介壽巷40號,049-2801633,-,10間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
31民宿,南投縣仁愛鄉大同村博望巷31號,049-2801023,-,3間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
老戴的家民宿,南投縣仁愛鄉大同村榮光巷27-1號,049-2916009,-,3間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
登貴居,南投縣集集鎮環山街140巷53號,049-2764710,-,5間,NT$2000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
VVhouse民宿,南投縣埔里鎮北安里19鄰明德北路25號,049-2991118,-,5間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
國姓太平民宿,南投縣國姓鄉長福村大長路129號,049-2431082,-,5間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
埔里柴居民宿,南投縣埔里鎮枇杷里5鄰中心路19-8號,0933-415521,-,3間,NT$2000-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
加勒碧渡假莊園,南投縣國姓鄉長豐村1鄰大長路275-6號,0921-301091,-,4間,NT$2000-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
菓菓輕旅,南投縣埔里鎮西門里16鄰中正一路20號,0939-629005,http://www.facebook.com/GuoguoHostel,5間,NT$2000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
思源居民宿,南投縣埔里鎮水頭里水頭路1號,049-2927101,-,3間,NT$2200-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2200,-
綠屋民宿,南投縣埔里鎮桃米里種瓜路6號,049-2916829,-,3間,NT$2200-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2200,-
八才子民宿,南投縣鹿谷鄉鹿谷村9鄰鹿彰路217號,049-2754515,http://0492754515.ego.tw,4間,NT$2200-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2200,-
夢享家民宿,南投縣埔里鎮大城里大同街47號,049-2914685,-,5間,NT$2200-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2200,-
