旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
嘉新大飯店,嘉義市西區中正路685號,05-2222280,https://www.booking.com/hotel/tw/jia-xin-da-fan-dian.zh-tw.html,40間,NT$1340-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘉義觀止飯店,嘉義市西區中興路467號,05-2813456,http://guanzhi-chiayi.com.tw,143間,NT$3480-4680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
嘉義樂客商務旅館,"嘉義市西區林森西路155號,林森西路153號5樓之1,5樓之2,6樓至12樓",05-2285999,http://www.chiayi-lookhotel.com.tw,96間,NT$3000-4300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
柏克山莊汽車旅館,"嘉義市東區大雅路一段790,792,794號1-3樓",05-2757171,https://www.facebook.com/parkhotel2757171,31間,NT$2000-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
皇爵大飯店,"嘉義市西區新榮路234號1,3-7樓",05-2233411,https://www.chiayikinghotel.com/aboutus,90間,NT$1820-2780(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
永悅商務大飯店,嘉義市西區興業西路369號B1-10樓,05-2839888,http://www.edb-hotel.com.tw/,131間,NT$4800-10600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
香緹時尚大飯店,"嘉義市西區八德路2號1-3樓,中興路300號1-3樓",05-2317777,http://www.shantis.com.tw,37間,NT$2980-4680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
樂億皇家渡假酒店,嘉義市西區玉山路501號,05-2830099,http://www.lookroyal.com,244間,NT$2280-16800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鈺通大飯店,嘉義市東區華南里6鄰維新路7號,05-2756111,http://www.yuhtonghotel.com.tw/,120間,NT$4800-20000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿里山之峰皇品酒店,嘉義市西區自由路468號,05-2341777,http://www.royalchiayihotel.com/,190間,NT$8800-25960(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
小小逐月坊,嘉義市西區國華街181巷14號,05-2168528,https://www.facebook.com/hilittlemoonlight,3間,NT$7200-10800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘉義智選假日酒店,嘉義市西區中興路69號,05-2335899,https://www.ihg.com/holidayinnexpress/hotels/cn/zh/chiayi-county/cyica/hoteldetail,154間,NT$6800-7500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘉宮大旅社,嘉義市西區新榮路187號,05-2223551,https://www.facebook.com/ChiaKonHotel/,8間,NT$2180-3980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
回朔民宿,嘉義市西區光彩街519號,0911-196406,-,5間,NT$3000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
八拾二弄文旅,嘉義市西區文化路297巷21號,0937-650094,https://157372556253.fullinnsite.com/,5間,NT$2500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘉義小青旅,嘉義市西區林森西路460號,05-2282500,https://www.chiayipetitehostel.com.tw/,4間,NT$4000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
萬泰大飯店,嘉義市西區新榮路46號,05-2275031,https://wan-tai-tw.book.direct/zh-tw,66間,NT$4800-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
葉綠宿漫漫回嘉,嘉義市西區民生北路175號,05-2223366,-,42間,NT$4800-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
OinnHotel&Hostel文化輕旅,嘉義市東區文化路294號,05-2789880,-,15間,NT$1500-13200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
國園大飯店,嘉義市西區光彩街678號,05-2236336,http://www.countryhotel.com.tw/,70間,NT$3760-5760(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
日光輕旅晃拾光,嘉義市西區中正路655號,05-2275858,-,15間,NT$850-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
拉瓦宅,嘉義市東區成仁街253號,0966-187686,-,4間,NT$3200-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
蘭潭泛月嘉南行館,嘉義市東區長竹里潭頂路82號3至4樓,05-2768487,-,10間,NT$10000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
南院旅墅,嘉義市東區公明路65號,05-2716565,http://www.southurban-hotel.com.tw,104間,NT$4800-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
歐遊國際連鎖精品旅館嘉義館,嘉義市西區四維路185號1-4樓,05-2331100,http://www.allurmotel.com/,30間,NT$10800-10800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
統一大飯店,嘉義市西區中正路722號1-4樓,05-2252685,-,30間,NT$1200-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
淌淌時光,嘉義市西區北榮街193-1號,0937-017837,-,5間,NT$3500-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
五洲大旅社,嘉義市西區中正路718號,05-2226341,-,20間,NT$500-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
華宮旅社,嘉義市西區長榮街321號,05-2283278,-,10間,NT$400-400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
繪日之丘,嘉義市東區長竹里大雅路一段888號,05-2759899,http://www.sundialogue-hotel.com.tw/,71間,NT$6200-26000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
城市墨苑酒店,嘉義市西區北港路225號,05-2910555,-,119間,NT$2000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
永鎮御花園商務汽車旅館,嘉義市西區世賢路一段718號1-4樓,05-2387788,http://www.mymotel.com.tw,66間,NT$5640-9770(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
歐特屋旅社,嘉義市西區興雅路76號1-3樓,05-2331313,-,27間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鼎川大飯店,"嘉義市西區友愛路207號1樓,興雅路59號2-5樓",05-2340277,-,49間,NT$1900-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
水弄汽車旅館,嘉義市西區劉厝里大仁街76號,05-2851177,-,30間,NT$4000-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
風箏旅人旅社,嘉義市西區國華里文化路195號,0919-583183,http://rongyuan.ego.tw/,9間,NT$360-360(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
有春枟宅,嘉義市西區中山路366巷12號,0910-516977,-,5間,NT$10000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
夏天旅宿,嘉義市西區民權路476號,0978-265616,-,8間,NT$1000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
柯賓悠活旅店,嘉義市西區書院里中山路617號6樓,0937-760023,-,25間,NT$7000-18000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
日出行旅,嘉義市西區仁愛路347號2樓2，3樓2,05-2283737,-,23間,NT$4800-6200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘉禾玉山國際大飯店,嘉義市西區玉山路65號1-2樓,05-2367888,-,37間,NT$6580-9800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘉義慢漫,嘉義市西區民生北路245巷23號,0973-067509,-,3間,NT$2800-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
客旅家嘉義國際青年旅館,嘉義市西區中正路445號,05-2161181,-,17間,NT$2000-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
波頓精品旅館,嘉義市西區中正路708號,05-2289977,-,8間,NT$1500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
搖尾巴,嘉義市西區民生北路245巷21號,0963-009999,-,3間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
佑餘晨光飯店,嘉義市西區文化里光彩街389號,05-2224567,https://www.mlhotel.com.tw/,33間,NT$3800-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
吉祥旅社,嘉義市東區共和路344號1-2樓,0961-222086,-,6間,NT$600-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
享綻二三星球旅館,嘉義市西區中興路23號3樓之5,0937-361975,-,8間,NT$800-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
ANNAKING,嘉義市東區華南里12鄰和平路150號,05-2789591,-,51間,NT$7500-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
