旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
幸福海岸民宿2館,連江縣北竿鄉芹壁村21號,0836-55355,-,2間,NT$2700-2700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
安錤的家,連江縣南竿鄉介壽村47之2號2樓,0836-22180,-,4間,NT$1600-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
清水灣客棧,連江縣南竿鄉清水村88號,0836-22771,-,2間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁山莊,連江縣北竿鄉芹壁村85號,0836-55677,http://chinbe85.com.tw/index.aspx,4間,NT$5200-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
藍洋洋的家,連江縣北竿鄉塘岐村194號,0836-56269,-,5間,NT$1000-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
第一民宿,連江縣東引鄉中柳村108號,0836-77361,-,2間,NT$2400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
發哥民宿,連江縣東引鄉樂華村75號,0836-77528,-,5間,NT$2800-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
依嬤海景民宿,連江縣南竿鄉復興村141號,0836-26688,-,5間,NT$1800-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
北海岸民宿,連江縣北竿鄉塘岐村中正路240號,0836-55036,-,5間,NT$1500-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
美芹居,連江縣北竿鄉芹壁村28之2號,0921-196830,http://bnb.matsu.idv.tw/beautifulchinbe/,3間,NT$2400-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東引海角民宿一館,連江縣東引鄉中柳村137號,0836-76268,-,5間,NT$2200-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
明建星休閒民宿,連江縣東引鄉中柳村66號,0836-77180,-,15間,NT$2200-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁村25號民宿,連江縣北竿鄉芹壁村25號,0836-55628,http://www.chinbe.com.tw,1間,NT$5500-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
假期旅店民宿,連江縣南竿鄉福沃村96號,0836-25515,-,15間,NT$2500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
好望角景觀民宿,連江縣南竿鄉福沃村98號,0836-25868,-,2間,NT$5400-5400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁青年民宿,連江縣北竿鄉芹壁村22之1號,0836-55522,-,3間,NT$2800-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海老屋民宿,連江縣南竿鄉復興村114號,0836-22782,http://cchsi0126.wix.com/seasidehouse,4間,NT$1800-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
台江大飯店,連江縣北竿鄉塘岐村200號,0836-55256,https://www.facebook.com/MatsuTaiJiangBB,4間,NT$2450-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬祖天后會舘,連江縣南竿鄉馬祖村102之6號,0928-061930,-,15間,NT$3880-5880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
小玖窩民宿,連江縣北竿鄉芹壁村42號,0921-535305,-,2間,NT$8500-15000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
玖伍小築,連江縣南竿鄉介壽村95號,09-21730793,https://l.facebook.com/l.php?u=https%3A%2F%2F95bnb.mystrikingly.com%2F%3Ffbclid%3DIwAR2QmNmcN31e6LyzH9hccjZv0wK_gjO_qFw5e6mP7qo3NSh4TxO69aXnVsk&h=AT0_VsoNEMs66H-Y6aYlrMs-iUcyNL0zqrafNEaNxrSxuHgqnb3EPslpPc2bAr-XFcr8a1r25vrJPw3407GKddyjDG37wg9WLiPeoKZtrnoCX,15間,NT$2600-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
島嶼花草民宿,連江縣南竿鄉馬祖村22號,0932-923949,https://www.facebook.com/%E5%B3%B6%E5%B6%BC%E8%8A%B1%E8%8D%89-%E6%96%87%E6%97%85-107019954816403,4間,NT$3200-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東邊山輕旅,連江縣南竿鄉津沙村140號,0836-22032,-,4間,NT$3880-4880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
牛角海邊民宿,連江縣南竿鄉復興村121號,0939-259266,-,3間,NT$3200-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
我家民宿,連江縣南竿鄉清水村88-2號,0836-25159,-,5間,NT$2500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
找茶複合式民宿,連江縣莒光鄉大坪村30號,0985-009664,-,5間,NT$5200-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海悅樓民宿,連江縣東引鄉樂華村52號3樓,0937-181560,-,5間,NT$3200-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
珠螺冀客棧,連江縣南竿鄉珠螺村15號,0919-919105,-,5間,NT$1800-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鋒之谷民宿,連江縣莒光鄉大坪村107號,0836-88158,https://bnb.matsu.idv.tw/fengvalley/,5間,NT$2800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
123民宿,連江縣東引鄉樂華村123-1號,0928-094261,-,5間,NT$2400-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
一起在驛站民宿,連江縣莒光鄉大坪村11、12號,0937-120736,-,5間,NT$2800-4400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
津沙堤岸民宿,連江縣南竿鄉津沙村72號,0920-063148,-,2間,NT$2800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
香賓民宿餐飲店,連江縣南竿鄉清水村110號,0988-619985,https://bnb.matsu.idv.tw/champagne/,5間,NT$4000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
幸福藍眼淚會館,連江縣南竿鄉清水村117號,0928-260316,-,5間,NT$2980-5300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁水漾,連江縣北竿鄉芹壁村62號,0912-685971,https://waterripple.com.tw/,5間,NT$4800-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁望海樓民宿,連江縣北竿鄉芹壁村32-1號,0933-250089,-,1間,NT$2500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
凱翔旅宿,連江縣南竿鄉福沃村108-3號,0836-22652,-,9間,NT$4200-5300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
簡單生活青旅,連江縣南竿鄉介壽村199號,0975-046533,http://simplelife.8898go.com/,2間,NT$4000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
厝邊民宿,連江縣南竿鄉介壽村40-5號1樓,0975-775237,-,5間,NT$3000-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
印象北疆民宿,連江縣東引鄉樂華村126-1號,0972-522166,-,11間,NT$2600-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
星海芝家,連江縣南竿鄉介壽村213號,0911-902623,http://www.xn--zfv984byxqpsi.tw/hotel/hweb/1111111/,5間,NT$2800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
好日子民宿,連江縣南竿鄉馬祖村113-1號,0836-23332,-,2間,NT$4000-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
曼巴小棧,連江縣南竿鄉清水村129-3號,0937-756458,-,7間,NT$1400-2100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金沙28,連江縣南竿鄉津沙村28號,0958-770660,-,2間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鄉居民宿,連江縣南竿鄉津沙村29-1號,0958-770660,-,3間,NT$3000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
依吽哥民宿,連江縣南竿鄉仁愛村94號,0836-22883,-,2間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
達露岸海景民宿,連江縣北竿鄉橋仔村73-1號,0836-55633,-,5間,NT$2990-4990(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
觀海休閒民宿,連江縣南竿鄉四維村76號,0836-22090,-,8間,NT$2500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁德順號民宿2館,連江縣北竿鄉芹壁村57號,0836-56066,-,2間,NT$3200-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海浪花客棧,連江縣南竿鄉仁愛村64號,0836-22568,-,15間,NT$2000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
寶玉民宿,連江縣東引鄉中柳村125號,0836-76627,-,2間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬吉民宿,連江縣南竿鄉介壽村3鄰47-3號,0836-25286,-,4間,NT$1800-2700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福華民宿,連江縣南竿鄉福沃村110號,0836-22990,-,2間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
聖托里尼民宿,連江縣南竿鄉清水村103號,0912-278717,-,2間,NT$3500-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
小舅媽民宿,連江縣南竿鄉珠螺村28-1號,0836-22835,-,5間,NT$2600-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
蓮園民宿壹館,連江縣南竿鄉福沃村63號,0836-23386,-,15間,NT$2000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬祖藍灣景觀餐廳民宿,連江縣莒光鄉福正村58號,0836-22420,-,4間,NT$1200-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海島屋,連江縣北竿鄉塘岐村275之1號,0836-56365,-,4間,NT$1200-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
溫馨民宿,連江縣北竿鄉芹壁村17-1號,0836-56283,-,1間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁家適海景民宿,連江縣北竿鄉芹壁村55號,0836-56669,https://www.facebook.com/JUST.coffee.hostel,5間,NT$3000-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
國境之北,連江縣東引鄉樂華村97號,0836-76025,-,2間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁休閒渡假村,連江縣北竿鄉芹壁村37號,0836-55456,-,5間,NT$5200-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁背包客棧,連江縣北竿鄉芹壁村3號,0836-55007,-,2間,NT$4000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
津沙香草民宿,連江縣南竿鄉津沙村101之1號,0836-23339,-,2間,NT$1200-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
飛馬民宿,連江縣南竿鄉介壽村47之6號,0836-22254,-,1間,NT$3600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁德順號民宿,連江縣北竿鄉芹壁村31號,0836-56066,https://www.facebook.com/Chinbe.DShouse/,2間,NT$2400-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
津沙海雲邊民宿,連江縣南竿鄉津沙村101之2號,0836-26190,-,4間,NT$1900-1900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
沐光B&B,連江縣南竿鄉津沙村98號,0958-810994,-,2間,NT$3500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
山海一家,連江縣莒光鄉青帆村96-3號,0836-88295,-,13間,NT$3800-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿南境民宿,連江縣北竿鄉橋仔村57-2號,0836-56618,-,5間,NT$5000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
蓮園民宿,連江縣南竿鄉馬祖村79號,0836-23386,-,5間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
津沙客棧2館,連江縣南竿鄉津沙村49號,0836-23020,https://zh-tw.facebook.com/jinsha.myhome,2間,NT$800-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
羅馬佳洲民宿,連江縣北竿鄉塘岐村267之1號,0836-55318,-,5間,NT$3200-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
藍映海岸景觀民宿,連江縣北竿鄉橋仔村73號,0836-55051,-,5間,NT$2600-5400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
悠活23海景民宿,連江縣北竿鄉芹壁村23號,0955-655139,-,2間,NT$2600-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁榕樹下民宿,連江縣北竿鄉芹壁村2號,0836-55007,-,3間,NT$1800-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
家適咖啡.民宿3館,連江縣北竿鄉芹壁村60號,0836-56669,https://www.facebook.com/JUST.coffee.hostel/,2間,NT$3400-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
宏瑞民宿,連江縣北竿鄉塘岐村146號,0836-56598,-,5間,NT$2200-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
依金那民宿,連江縣南竿鄉福沃村57號,0836-22098,-,12間,NT$2500-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
娘家小宅,連江縣南竿鄉復興村122號,0836-22003,-,2間,NT$4800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
聖托里尼民宿一館,連江縣南竿鄉清水村96-7號,0926-673311,-,15間,NT$1800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁愛情海2館,連江縣北竿鄉芹壁村69號,0836-56668,-,5間,NT$2800-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
清雅民宿,連江縣北竿鄉塘岐村225號,0836-56239,https://www.facebook.com/chingya.house,3間,NT$1400-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
報告班長,連江縣南竿鄉清水村116號,0836-25116,-,5間,NT$1600-5400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
富喜民宿二館,連江縣南竿鄉復興村35之2號,0836-25355,-,15間,NT$3500-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
香格里拉休閒民宿2館,連江縣東引鄉中柳村113號,0836-76191,https://hotel.matsu.idv.tw/shangrila/holiday.html,3間,NT$4000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
隴之悅驛宿館,連江縣南竿鄉介壽村8鄰215號,0836-23488,https://www.facebook.com/%E9%9A%B4%E4%B9%8B%E6%82%85%E9%A9%9B%E5%AE%BF%E9%A4%A8-728818047184008/,16間,NT$8000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
風燈民宿,連江縣南竿鄉介壽村180號,0836-25457,-,8間,NT$3900-3900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
家適咖啡.民宿2館,連江縣北竿鄉芹壁村59號,0836-56669,https://www.facebook.com/JUST.coffee.hostel/,5間,NT$3400-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
