旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
甲穩民宿,臺東縣臺東市興盛路313巷21號,089-239515,-,15間,NT$3000-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
英惠原藝民宿,臺東縣太麻里鄉金崙14鄰9-6號,089-771277,-,4間,NT$3000-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
消防情民宿,臺東縣池上鄉福原村文田路108號,0937390342-0937390342,-,3間,NT$1500-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
睿凡的家民宿,臺東縣成功鎮麒麟路88-1號,089853168-0935602938,https://blog.xuite.net/chen_0538/blog1/349877983,4間,NT$2800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
筆令莊園民宿,臺東縣臺東市志航路1段971巷79號,0932-336410,http://billingmanor.com,5間,NT$4600-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿美姨海景民宿,臺東縣東河鄉都蘭村43鄰都蘭445-12號,089-530031,http://amayyi.tw,5間,NT$3500-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
貓追熊民宿,臺東縣臺東市豐榮路90巷38號,0963-735617,http://www.taitungbb.com.tw,5間,NT$4600-5900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
諾園民宿,臺東縣臺東市志航路1段552巷73號,089-226455,http://sm2264.myweb.hinet.net/,4間,NT$2500-5400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
娜路彎銀河行館,臺東縣臺東市豐興路88號,089-225000,-,54間,NT$8800-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
樂樂民宿,臺東縣臺東市中興路2段80號,089-230922,http://www.tw5168.com.tw/hotelsite/rooms.php?uid=169,4間,NT$2800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
居佳小棧,臺東縣關山鎮里壠里中山路73號,089-812683,-,4間,NT$2800-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
山仔腳民宿,臺東縣綠島鄉中寮村5鄰115-1號,089-672337,-,5間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
托斯卡尼民宿,臺東縣臺東市興安路一段169號,0978-003121,http://https://www.facebook.com/maryspecialtone,5間,NT$4500-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
魔法奶油飛民宿,臺東縣臺東市新站二街27號,089-232620,-,5間,NT$4200-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
遇見快樂民宿,臺東縣臺東市中心里27鄰新生路503巷22弄16號,0937-640366,-,5間,NT$4000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
玉蟾園民宿,臺東縣池上鄉錦園村新開園162號,089-861063,http://www.moon-toad.idv.tw/main.htm,5間,NT$1800-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
娜路彎銀河酒店,臺東縣臺東市豐興路66號,089-225000,https://www.Naruwan-Galaxy.com.tw,168間,NT$8470-12100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福美民宿,臺東縣臺東市精誠路241號,089-328466,-,5間,NT$1000-1400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
知本金聯世紀酒店,臺東縣卑南鄉龍泉路30號,089-515688,-,266間,NT$8000-18480(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
跋邊民宿,臺東縣成功鎮和平里7鄰跋邊路47號,0975-825013,-,3間,NT$3600-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
慕田軒民宿,臺東縣臺東市綏遠路一段35巷3號,089-239929,http://mutianxuan.yoyotaitung.com.tw/,4間,NT$3800-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東籬緣民宿,臺東縣關山鎮新福里6鄰29號,089-810123,-,2間,NT$3800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
伊豆花園民宿,臺東縣臺東市樂利路46號,089-233699,http://www.ido-homestay.com.tw,5間,NT$1800-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
宏宜大飯店,臺東縣卑南鄉溫泉村龍泉路57號,089-514008,-,79間,NT$3800-6200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
背包倉庫肆零居,臺東縣臺東市文化街40號,0930-658469,-,5間,NT$3080-6880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
丹堤金崙溫泉民宿,臺東縣太麻里鄉多良村多良2-2號,089-771759,-,4間,NT$4000-11000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
ohana的天空民宿,臺東縣臺東市樂利路2-2號,0953-775328,https://www.facebook.com/ohanawood/,4間,NT$5600-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海明威民宿,臺東縣綠島鄉公館村柴口61-30號,0905-112766,-,5間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
怡靜民宿,臺東縣臺東市東糖街33巷6弄5號,089-238773,http://tour.taitung.gov.tw/zh-tw/Dining/Accommodation/2237/%E6%80%A1%E9%9D%9C%E6%B0%91%E5%AE%BF,4間,NT$3500-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
旅人驛站鐵花文創二館,臺東縣臺東市鐵花路296號,089-357700,http://www.traveler-inn.com/,86間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
藍海奇緣民宿,臺東縣綠島鄉公館村溫泉43號,089-672309,-,5間,NT$4000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福康大飯店,臺東縣臺東市更生路50巷28號1-7樓,089-355811,http://www.fukang.tw,130間,NT$4600-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
兩朵昀民宿,臺東縣臺東市永安街18巷9號,0975-262710,-,4間,NT$3600-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
中華典藏商旅,臺東縣臺東市中華路1段420號,089-322369,http://www.zhotel.com.tw,27間,NT$5000-7800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2
筆筒樹山莊,臺東縣鹿野鄉永安村鹿寮路33巷18號,089-550522,-,5間,NT$2000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海韻民宿,臺東縣綠島鄉南寮村南寮210號,089-672338,-,5間,NT$1400-1400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
旅人驛站鐵花文創館,臺東縣臺東市中山路402號1-6樓,089-352200,http://www.traveller-inn.com,67間,NT$3000-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
統一旅社,臺東縣臺東市新生路120號,"089-322176,322858",-,23間,NT$3500-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大瀚山莊民宿,臺東縣關山鎮長興路48-3號,0910-549698,http://blog.xuite.net/ks.q6383/taidong,4間,NT$2800-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
暢遊民宿,臺東縣卑南鄉明峰村忠孝路272巷12號,089-571996,-,5間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬約卡B&B,臺東縣臺東市興安路一段180巷10號,0928-371296,https://www.besteastern.com.tw/,5間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大台東民宿,臺東縣臺東市北安路6號,0910-580999,-,4間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
萬曄蝶坊民宿,臺東縣鹿野鄉龍田村光榮路620號,089-550972,-,4間,NT$1800-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
ㄚ一ㄚ旺溫泉渡假村,臺東縣卑南鄉溫泉村龍泉路136巷2號,089-515827,http://www.ayawan.com.tw,5間,NT$10000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
綠之丘民宿,臺東縣臺東市文山路38巷9號,0988-133203,http://www.facebook.com/greenhome2014,5間,NT$2800-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
若家民宿,臺東縣關山鎮里壠里23鄰水源21號,0921-240981,http://homelike.ittbnb.com/,2間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
旅行家商務會館,臺東縣臺東市安慶街42號,089-326456,-,36間,NT$3500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福鹿民宿,臺東縣卑南鄉初鹿村12鄰初鹿三街25號,09-36370168,-,4間,NT$5000-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
千成湯海,臺東縣成功鎮信義里9鄰都歷新村路2-3號,089-841686,-,3間,NT$3200-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
康橋商旅-台東館,臺東縣臺東市中興路一段209巷16號1-7樓,089-229226,-,90間,NT$8640-13200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
居佳民宿,臺東縣臺東市漢口街30號,0988-925755,http://seestar.etaitung.tw/,15間,NT$5000-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
庭翊民宿,臺東縣臺東市青海路二段581巷97弄33號,0932-112028,http://www.tingyi-bnb.com,4間,NT$3000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
田的家民宿,臺東縣綠島鄉公館村公館路58號,089-672268,-,5間,NT$4000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
花東民宿,臺東縣臺東市光明里連航路77號,089-239403,https://www.loveandpeacebnb.com/,2間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
平凡平房民宿,臺東縣鹿野鄉瑞豐村水源路90巷13號,09-88267909,http://13-live.blogspot.tw/,3間,NT$7500-7500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
綠堤濱海旅店,臺東縣綠島鄉南寮村漁港29號,089-672880,-,15間,NT$3600-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
夏威夷度假酒店,臺東縣臺東市中華路三段77號,089-321858,-,68間,NT$3000-8200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
壹百號民宿,臺東縣臺東市中華路一段100號,089-352100,-,5間,NT$3500-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
津宿囍民宿,臺東縣臺東市吉泰路599巷23號,0988-056728,-,5間,NT$4500-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
客來居民宿,臺東縣臺東市知本路三段543號,089-512828,-,4間,NT$3600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
台東富野渡假酒店,臺東縣臺東市復興路38號,089-350666,http://www.hoyaresort.com.tw,80間,NT$6050-7700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
月亮的家民宿,臺東縣鹿野鄉鹿野村中華路二段243巷5號,089-552350,-,2間,NT$1800-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
聖托里尼音樂親子特色民宿,臺東縣臺東市知本路三段398巷39號,0938-519585,-,5間,NT$4500-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
公館大飯店,臺東縣綠島鄉公館2-10號1-3樓,089-672799,-,30間,NT$4600-7800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
隧道堡元氣民宿,臺東縣關山鎮里壠里中正路16號,0928-169599,-,4間,NT$8520-14800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大關山宏園民宿,臺東縣關山鎮隆興30號,0963-787935,-,5間,NT$2400-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
伯陽居民宿,臺東縣臺東市更生路776巷1號,089-222849,-,1間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東廷民宿,臺東縣關山鎮新福里5鄰隆盛路170巷32號,089-814105,-,3間,NT$2500-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
好適INN,臺東縣臺東市中華路二段154巷96號,089-331179,-,4間,NT$3200-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
蒙地拿民宿,臺東縣臺東市中華路一段376巷36號,089-345730,-,5間,NT$4000-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
樂樂日暉溫泉酒店,臺東縣池上鄉新興村8鄰東欣路123號,089-861111,https://jresort.com.tw/,48間,NT$5600-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
姑姑的家民宿,臺東縣臺東市興安路一段163巷10號,0931-094943,-,5間,NT$4500-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
九族飯店,臺東縣卑南鄉溫泉村溫泉路312巷2號1樓之6,089-515361,-,7間,NT$9000-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新宇民宿,臺東縣綠島鄉南寮村南寮24號,089-672470,-,5間,NT$800-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
邦喬諾民宿,臺東縣臺東市興盛路228號,0919-639575,-,5間,NT$3000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海洋之家渡假村,臺東縣綠島鄉南寮村南寮39號1-4樓,089-672566,-,33間,NT$2600-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
三兄弟民宿,臺東縣臺東市永樂里2鄰太原路二段78號,0919-127821,-,4間,NT$4000-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
陌上草薰民宿,臺東縣長濱鄉長濱村齒草埔12號,0952-498287,-,3間,NT$10000-14000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
綠島之星大飯店,臺東縣綠島鄉公館村柴口55號,089-671355,-,38間,NT$4000-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
妙妙的家民宿,臺東縣臺東市中興路三段275巷46弄12號,0988-761966,-,5間,NT$5500-8500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
伊塔原旅臺東縣原住民文化會館,臺東縣臺東市中山路10號,089-340605,-,33間,NT$5060-7260(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
一品苑民宿,臺東縣臺東市新興路1巷61弄18號,0932-923009,-,2間,NT$4500-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
沐月民宿,臺東縣臺東市福建路139號,089-327789,-,5間,NT$4000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
宏發民宿,臺東縣綠島鄉中寮村中寮180-1號,089-671120,-,5間,NT$1400-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
伊亞民宿,臺東縣臺東市正氣北路76巷62弄11號,089-333010,http://oiacafe.com/,3間,NT$1900-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
悠閒居民宿,臺東縣臺東市仁二街6號,089-233389,http://www.love-taitung.com/leisure,5間,NT$2700-5400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
沐山民宿,臺東縣長濱鄉長濱村長光132號,0905-961590,-,3間,NT$3600-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
泓泉溫泉渡假村,"臺東縣卑南鄉溫泉村龍泉路139巷1,2號",089-510150,-,67間,NT$4200-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
采楓觀海度假民宿,臺東縣成功鎮信義里10鄰都歷1-26號,0932-930089,http://www.minsu.com.tw/MinsuHome/MinsuDIY/Model2/Site01.aspx?ID=277,3間,NT$6000-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
凱薪飯店,臺東縣綠島鄉南寮村南寮102-12號,089-672033,-,33間,NT$2500-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
74.5K民宿,臺東縣長濱鄉樟原村樟原路118-6號,089-881726,-,5間,NT$2300-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
佳欣民宿,臺東縣綠島鄉南寮村南寮17號,0928-752209,-,3間,NT$1500-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海然民宿,臺東縣臺東市吉林路二段571巷8號,0936-773797,-,5間,NT$3500-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
星光庭園民宿,臺東縣卑南鄉太平村太平路563巷6號,0932-733427,http://www.facebook.com/-304035980073414/,5間,NT$4000-6400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
蘋果商務旅店,臺東縣臺東市中華路一段857號,089-318928,http://www.apple-hotel.com.tw,46間,NT$5000-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鄉林渡假民宿,臺東縣海端鄉霧鹿村霧鹿2鄰28號,089-935068,-,5間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
花格子民宿,臺東縣臺東市文昌路121巷59號,0912-110447,http://fb.travel123.tw/,5間,NT$2500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
逍遙民宿,臺東縣臺東市興安路二段15號,0937-602340,-,5間,NT$3600-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
輕旅小站民宿,臺東縣臺東市興安路二段9號,0919-127722,-,5間,NT$3500-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
連航居民宿,臺東縣臺東市連航路75號,089-221716,-,2間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
樂達統祥大飯店,臺東縣綠島鄉中寮村中寮6-6號1-3樓,089-338928,http://www.tshotel.com.tw/,50間,NT$2600-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
悅來民宿,臺東縣卑南鄉太平村民生路197號,089-383111,http://taitunghouse.pixnet.net/blog,5間,NT$2600-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
流浪星球民宿,臺東縣成功鎮新村路27號,0972-097821,http://minorplanet27.blogspot.tw,3間,NT$2500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
河南邊民宿,臺東縣東河鄉東河村南東河18號,089-896673,http://sbeach.emmm.tw/,4間,NT$3800-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
波莎塔民宿,臺東縣臺東市富裕路502巷11弄20號,09-33178825,-,5間,NT$4500-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
綠島民宿,臺東縣綠島鄉中寮村126號,089-672286,-,5間,NT$1000-1400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
知本踢踏民宿,臺東縣臺東市知本路2段292巷139號,089-515227,-,4間,NT$2000-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
綠島微風民宿,臺東縣綠島鄉公館村柴口路58-1號,089-671617,-,5間,NT$1800-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
旅人驛站日暮微旅,"臺東縣臺東市中山路410,412,414號",089-353300,http://www.traveler-inn.com/,19間,NT$3000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
緩島旅宿民宿,臺東縣綠島鄉南寮村9鄰南寮110之1號,0905-636081,-,3間,NT$2700-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
雲海灣海景民宿,臺東縣臺東市吉林路2段578號,089-280199,http://www.seabay.com.tw/index.php,5間,NT$3300-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
好舒適民宿,臺東縣臺東市杭州街220巷30號,0917-574707,-,5間,NT$2000-6400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鴻瑞輕旅,臺東縣臺東市和平街132號,089-351999,http://www.hrhotel.com.tw/,30間,NT$4400-7480(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
台東DeerHouse民宿,臺東縣鹿野鄉永安村1鄰永安路71號,0919-611644,-,5間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
台東幸運草民宿,臺東縣臺東市樂利路57巷18號,0956-026268,-,5間,NT$4000-7500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大地飯店,臺東縣池上鄉福原村忠孝路210號,089-864330,http://www.c-tati.com.tw/,19間,NT$2500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
O2漫活民宿,臺東縣臺東市永安街230巷8號,0905-535185,-,5間,NT$5500-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
黑足民宿,臺東縣臺東市富岡里富岡街180號,0921-912855,-,5間,NT$3500-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
巴斯拉岸民宿,臺東縣成功鎮忠仁村公民路27-12號,0976-138601,-,2間,NT$2500-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
親山農園民宿,臺東縣關山鎮里壠里3鄰和平路2-4號,089-813329,-,1間,NT$2800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
田園小築民宿,臺東縣卑南鄉利家村利民路322號,089-383272,-,5間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
宓宓花園民宿,臺東縣綠島鄉公館村6-1號,089-672862,-,5間,NT$4200-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
永安101民宿,臺東縣臺東市卑南里8鄰永安街23號,089-0966740740,http://www.facebook.com/yongan101/,5間,NT$4800-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
