旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
火金姑民宿,嘉義縣竹崎鄉光華村頂笨仔23-9號,05-2561772,-,3間,NT$3000-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
香林薇拉民宿,嘉義縣竹崎鄉竹崎村中山路6巷1號,05-2616923,http://www.vivilla.com.tw/index.aspx,5間,NT$3800-5100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大峯山莊,嘉義縣阿里山鄉中正村東阿里山46號,05-2679936,-,27間,NT$3200-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
F商旅嘉義館,嘉義縣番路鄉下坑村下坑42-3號,05-2590888,http://chiayi.fhotels.com.tw/,93間,NT$5400-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
蘭后民宿,嘉義縣阿里山鄉來吉村1鄰11號,05-2661172,-,5間,NT$1800-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
雲龍小築,嘉義縣竹崎鄉中和村石棹1號,05-2562216,-,4間,NT$1600-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
梅花山莊,嘉義縣梅山鄉瑞里村幼葉林103號之1,05-2501522,-,5間,NT$1980-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
童年夜來香民宿,嘉義縣番路鄉下坑村下坑45之28號,05-2590536,-,1間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
天一民宿,嘉義縣竹崎鄉中和村石棹25-2號,05-2562629,-,4間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
船仔頭ㄟ厝,嘉義縣東石鄉蔦松村船仔頭22-3號,0929-975167,-,4間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
懷舊古厝-阿郎的家民宿,嘉義縣梅山鄉瑞里村3鄰幼葉林76號,05-2501294,-,2間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
瑞里渡假村歐湘園飯店,嘉義縣梅山鄉瑞里村幼葉林103號,05-2501222,http://www.o-sun-win.com.tw,31間,NT$2400-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
仁義潭溫馨民宿,嘉義縣番路鄉內甕村5鄰竹山38之1號,05-2593872,-,4間,NT$1500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
竹林休閒民宿,嘉義縣梅山鄉瑞峰村6鄰坔埔21號,05-2501483,-,2間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘉義富野渡假酒店,"嘉義縣民雄鄉三興村7鄰升學一街3、5、7、9、11,13,15,17,19,21,23,25及27號",05-2721688,http://www.hoyaresort.com.tw,267間,NT$6000-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
一品民宿,嘉義縣梅山鄉瑞里村幼葉林102號,05-2502345,http://www.epintea.com.tw,3間,NT$2200-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
仁義湖岸大酒店,嘉義縣番路鄉內甕村後坑仔35號,05-2769388,http://www.renyilakehotel.com.tw/,134間,NT$8000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
安允山居民宿,嘉義縣梅山鄉瑞峰村坔埔26號,05-2501529,https://www.facebook.com/%E5%AE%89%E5%85%81%E5%B1%B1%E5%B1%85%E6%B0%91%E5%AE%BF-902920183089467/?ref=bookmarks,4間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
掌聲喝采小木屋民宿,嘉義縣阿里山鄉樂野村8鄰樂野209之5號,05-2562909,-,5間,NT$6200-6200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
光影民宿,嘉義縣布袋鎮新南路117號,05-3470368,http://www.light117.url.tw/,4間,NT$2500-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
船仔頭天賞居,嘉義縣東石鄉蔦松村船仔頭13號,05-3702667,-,1間,NT$2400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿里山初日民宿,嘉義縣番路鄉公田村2鄰龍頭17-19號,0902-057101,https://reurl.cc/g7xZOL,5間,NT$3900-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
瑞里茶壺民宿,嘉義縣梅山鄉瑞里村102號,05-2501806,-,2間,NT$2500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
日出有大美雲起莊園民宿,嘉義縣阿里山鄉樂野村2鄰樂野70之5號,09-21286857,-,4間,NT$13800-13800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
伊莎貝爾花園民宿,嘉義縣竹崎鄉灣橋村8鄰下厝坑11號,05-2790887,http://www.isabellehome.tw,2間,NT$4200-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿里山月灣Villa,"嘉義縣中埔鄉社口村檨仔林17-15~23,17-25~33,17-35~36號",05-2030116,http://www.moonvilla.com.tw,56間,NT$3600-18000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2
禾樂居民宿,嘉義縣大林鎮三角里3鄰北勢41之3號,05-2956961,http://www.wretch.cc/blog/holafamily,4間,NT$3000-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
登山別館,嘉義縣阿里山鄉中正村東阿里山47號,05-2679758,http://www.dengshan.com.tw/,21間,NT$4500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
177民宿,嘉義縣六腳鄉崙陽村177號,05-7812642,-,4間,NT$3600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
童年芬多精民宿,嘉義縣番路鄉下坑村下坑45之30號,05-2590536,-,1間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
歐都納山野渡假村,嘉義縣大埔鄉大埔村大埔310號,05-2521717,http://www.atunas-inn.com.tw,61間,NT$6800-9600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
山海大飯店二館,嘉義縣朴子市大鄉里24鄰大槺榔1002巷36號,05-3709399,https://www.bbnet.com.tw/skk/reserve/,37間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
給巴娜民宿,嘉義縣阿里山鄉達邦村108號,05-2511688,-,5間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
禾園觀霧民宿,嘉義縣竹崎鄉中和村石棹4-8號,0933-277602,-,4間,NT$3000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
松竹梅休閒渡假民宿,嘉義縣大埔鄉和平村雙溪14-2號,05-2521166,-,5間,NT$2000-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
孟宗築民宿,嘉義縣梅山鄉瑞里村3鄰幼葉林99號,05-2501468,http://www.rueili.com,5間,NT$1800-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
清華獅子會館民宿,嘉義縣竹崎鄉義仁村下寮仔16-9號,05-2111018,http://www.facebook.com/123alishan,5間,NT$4000-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
佳仕堡商務飯店,嘉義縣太保市北港路二段218號,05-2375311,http://www.chiashihpao.com/,100間,NT$4500-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
龍園旅館,嘉義縣布袋鎮東港里埔仔厝205號,05-3474618,-,10間,NT$2400-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
旺來庭園民宿,嘉義縣民雄鄉三興村陳厝寮18-18號,05-2720501,https://www.facebook.com/pg/-2118693405023777/about/?ref=page_internal,4間,NT$1000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
華德度假山莊,嘉義縣番路鄉下坑村坑仔內13-1號,0906-029887,-,5間,NT$4800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
禾楓別墅,嘉義縣阿里山鄉中正村東阿里山51號,05-2679716,-,14間,NT$3000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
竹崎白樹腳驛棧,嘉義縣竹崎鄉復金村20鄰白樹腳22號,05-2615933,http://www.innbytree.com/,8間,NT$3500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
適合院休閒民宿,嘉義縣番路鄉新福村1鄰公館仔10號,0910-749673,-,3間,NT$2200-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
紫龍星空民宿,嘉義縣阿里山鄉樂野村4鄰119號,05-2561156,-,5間,NT$8000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿里山賓館(現代館),嘉義縣阿里山鄉香林村16-1號,05-2679811,http://www.alishanhouse.com.tw/,104間,NT$12000-30000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),4
仲明居陶藝坊民宿,嘉義縣番路鄉公興村1鄰龍美19-1號,0932-843889,http://jhong.ho.net.tw/,4間,NT$6500-8400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
雅瑪家一館民宿,嘉義縣番路鄉公興村1鄰龍美4-9號,05-2586905,http://www.yamaya.com.tw/new/home.htm,3間,NT$3800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
幸福樂民宿,嘉義縣布袋鎮岑海里15鄰新南路63號,0920-088011,http://minsu.taiwanking.com/mingsu_room_introduct.php?number=1111,4間,NT$2000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
山雲花民宿,嘉義縣梅山鄉太和村8鄰公田20號,05-2661837,http://shanyunhua.okgo.tw/,5間,NT$5800-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
和諧布袋民宿,嘉義縣布袋鎮新南路177號,05-3473183,-,3間,NT$1600-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
慕噶納娜民宿,嘉義縣阿里山鄉樂野村2鄰樂野57之1號,05-2561035,-,8間,NT$8000-9600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
茗苑民宿,嘉義縣竹崎鄉中和村石棹13號,05-2561637,-,3間,NT$1800-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
萬國別舘,嘉義縣阿里山鄉中正村東阿里山45號,05-2679777,-,16間,NT$4200-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
SunRise23.5N民宿,嘉義縣竹崎鄉中和村20鄰石棹25之3號,05-2561358,http://sunrise235.okgo.tw,5間,NT$6000-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
白鶴仙境,嘉義縣民雄鄉北斗村北勢子路460號,0939-723191,-,3間,NT$1380-1980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
賴坤陽的家,嘉義縣梅山鄉瑞峰村新興寮22-1號,05-2501578,http://www.laihome.idv.tw,4間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
夢想家國際大飯店,嘉義縣布袋鎮新北路22號,05-3472755,http://www.dreamerhotel.com.tw,98間,NT$2980-6980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
掌聲響起民宿,嘉義縣阿里山鄉樂野村8鄰樂野209-6號,05-2562909,-,5間,NT$8000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
伯扶的家民宿,嘉義縣東石鄉蔦松村船仔頭22號之4,05-3707619,-,4間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
淵明居,嘉義縣竹崎鄉中和村石棹4號,05-2562633,-,4間,NT$3400-4100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
山合院休閒民宿,嘉義縣竹崎鄉鹿滿村鹿鳴路61號,05-2617162,-,3間,NT$4200-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海風長堤,嘉義縣布袋鎮新北路38號,05-3470260,https://www.facebook.com/thewindbnb/,3間,NT$3200-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
高山青大飯店,嘉義縣阿里山鄉中正村東阿里山43號,05-2679716,-,72間,NT$3500-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海風長堤二館民宿,嘉義縣布袋鎮岑海里10鄰中正路89號,05-3478908,https://www.facebook.com/thewindbnb/,4間,NT$2800-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
觀星園休閒民宿,嘉義縣竹崎鄉光華村23-8號,05-2561772,-,5間,NT$3000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
秘密遊民宿,嘉義縣阿里山鄉達邦村185-2號,05-2511378,-,5間,NT$3600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
同大大埔山莊,嘉義縣大埔鄉大埔村大埔200之1號,05-2521089,-,24間,NT$2000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
陽光綠景,嘉義縣中埔鄉鹽館村鹽館26號,05-2030501,-,5間,NT$2500-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
山海大飯店,嘉義縣朴子市大槺榔1020號,05-3709399,http://www.skk.com.tw,58間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
竺園民宿,嘉義縣竹崎鄉中和村石棹2-7號,05-2562565,-,2間,NT$2100-2100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿喜紫藤,嘉義縣梅山鄉瑞里村10-3號,05-2501575,-,1間,NT$10800-10800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
詩情夢幻城堡民宿,嘉義縣中埔鄉社口村16鄰十塊厝19-16號,05-2538855/0919604735,http://www.chiayi-family-villa.com.tw/index.asp,5間,NT$600-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
陶鄉民宿(板陶窯內),嘉義縣新港鄉板頭村1鄰板頭厝45-2號,05-7810832,http://www.bantaoyao.com.tw,3間,NT$4200-5400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
布袋文創HOTEL,嘉義縣布袋鎮岑海里順安路61號,05-3476788,https://www.budai-hotel.com.tw/,42間,NT$3600-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
曠野民宿,嘉義縣梅山鄉圳北村麻園寮33號,05-2621564,-,3間,NT$2600-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
上觀清陽民宿,嘉義縣梅山鄉龍眼村竹子嶺路8-5號,05-2572498、2811252,-,2間,NT$2400-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
慕貝拉民宿,嘉義縣梅山鄉梅東村12鄰中正路12號,0905-991272,-,4間,NT$6000-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿里阿里茶香民居民宿,嘉義縣番路鄉公田村3鄰隙頂14-3號,0911-373200,http://www.aliali.com.tw/,3間,NT$3500-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
璟隆慢活仙境民宿,嘉義縣番路鄉公田村3鄰隙頂8號之3,05-2586140,-,3間,NT$3000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
童年米勒民宿,嘉義縣番路鄉下坑村下坑45-13號,05-2590536,-,1間,NT$5200-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大山自在民宿,嘉義縣梅山鄉龍眼村9鄰龍眼林3號,05-2571123,-,5間,NT$2000-5400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
長青居,嘉義縣竹崎鄉中和村石棹16號,05-2561603,-,5間,NT$3400-3400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東石兜風民宿,嘉義縣東石鄉東石村26鄰觀海三路191號,05-3703203,-,4間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
四季星空館民宿,嘉義縣番路鄉公田村隙頂18號,05-2586083,http://www.seasonstar.com.tw,5間,NT$3800-5400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
梅山富里居民宿,嘉義縣梅山鄉大南村8鄰南勢坑51之4號,0923-894956,-,5間,NT$2000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
波希瓦舍民宿,嘉義縣竹崎鄉竹崎村18鄰中山路6巷3-1號,05-2616923,http://www.vivilla.com.tw/index.aspx,4間,NT$3800-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
三興會館民宿,嘉義縣民雄鄉三興村7鄰三興路177號,05-2721008,-,5間,NT$2000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
茶香花園民宿,嘉義縣番路鄉公田村1鄰龍頭9號,0988-514789,https://www.alishan-home.com.tw/,4間,NT$10000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
長榮文苑酒店（嘉義）,嘉義縣太保市故宮大道777號,05-3669988,http://bit.ly/wyn-evergreen,263間,NT$7480-18480(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
松友休閒客家庄民宿,嘉義縣中埔鄉和興村公館97-20號,05-2307963,https://www.songyouf.com,3間,NT$2000-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
湘泉休閒民宿,嘉義縣竹崎鄉光華村頂苯仔9號,05-2561643,-,3間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
梅園樓觀景飯店,嘉義縣番路鄉公田村龍頭19-5及19-6號,05-2586282,-,126間,NT$4500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
禮好民宿,嘉義縣竹崎鄉竹崎村15鄰民生路41之3號,0972-113481,https://bagelman2.wixsite.com/lihohomestay,5間,NT$2000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
樂趣休閒民宿,嘉義縣水上鄉南和村後寮25之8號,06-6566122,-,2間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
青山別館,嘉義縣阿里山鄉中正村東阿里山42號,05-2679533,https://www.chinshanvilla.com.tw/,23間,NT$4200-7800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
簡單生活民宿,嘉義縣梅山鄉中山路113號,05-2620583,-,5間,NT$2000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿里山東方明珠國際大飯店,嘉義縣中埔鄉社口村19鄰檨仔林23號,05-2536999,http://www.ali-hotel.com.tw,183間,NT$4550-8400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
樂趣好玩民宿,嘉義縣水上鄉南和村後寮25之10號,06-6566122,-,2間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
星晨堡民宿,嘉義縣番路鄉公田村1鄰龍頭10之2號,0970-117838,-,5間,NT$5200-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
布袋港民宿,嘉義縣布袋鎮新厝里新厝仔341-8號,05-3475589,-,5間,NT$1000-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
光影民宿二館,嘉義縣布袋鎮岑海里12鄰新南路119號,0968-833008,-,3間,NT$1000-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
童年湖畔民宿,嘉義縣番路鄉下坑村下坑45之15號,05-2590536,-,1間,NT$5200-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
童年高更民宿,嘉義縣番路鄉下坑村下坑45-14號,05-2590536,-,1間,NT$5200-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
許家茶園民宿,嘉義縣梅山鄉瑞里村幼葉林74號,05-2501458,http://syu.okgo.tw/,4間,NT$1200-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
樂趣渡假民宿,嘉義縣水上鄉南和村後寮25之6號,06-6566122,https://happyholidy.weebly.com/,2間,NT$2650-3250(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
向日葵汽車旅館,嘉義縣太保市縣府六街29號,05-3625599,-,31間,NT$4800-12800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
瑪拉雅民宿,嘉義縣布袋鎮新南路171號,05-3477696,-,4間,NT$1600-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿本的家民宿,嘉義縣梅山鄉瑞里村幼葉林105號,05-2501333,https://abun.okgo.tw/,2間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
山間茶墅民宿,嘉義縣梅山鄉瑞里村4鄰幼葉林85之1號,0983-726585,https://www.ruiliteavilla.com/,5間,NT$4800-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿里山閣大飯店,嘉義縣阿里山鄉香林村1鄰西阿里山1號,05-2679611,http://www.agh.com.tw/,80間,NT$5000-15888(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
名都觀光渡假大飯店,嘉義縣番路鄉內甕村一鄰後坑仔28號,05-2779928,http://www.beau-max.com.tw,97間,NT$5600-7800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
瑞里印象民宿,嘉義縣梅山鄉瑞里村幼葉林98號,05-2501629,http://www.reylee-impress.com.tw/,1間,NT$2000-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
品味觀峰民宿,嘉義縣番路鄉公田村4鄰隙頂25號之1,0905-805812,-,2間,NT$3000-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鶴巢民宿,嘉義縣竹崎鄉中和村19鄰石棹18之6號,0938-983186,-,5間,NT$3800-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
幼林民宿,嘉義縣梅山鄉瑞里村3鄰幼葉林100號,05-2501007,-,2間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
幸福樂民宿永恆館,嘉義縣布袋鎮新南路137號,05-3472288,-,4間,NT$5800-15000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
青山小日子民宿,嘉義縣竹崎鄉仁壽村5鄰下寮10號,0956-064555,-,2間,NT$3800-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大方茶業民宿,嘉義縣番路鄉公田村5鄰隙頂(臨)66之8號,0908-726228,-,5間,NT$1500-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
里山下民宿,嘉義縣中埔鄉義仁村10鄰樹頭埔1-58號,0965-008768,-,2間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
光影民宿三館,嘉義縣布袋鎮岑海里10鄰新北二街41號,0968-833008,http://www.light117.url.tw/,2間,NT$2680-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
幸福樂民宿真愛館,嘉義縣布袋鎮岑海里新南路135號,05-3472288,-,5間,NT$5800-15000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
龍園民宿二館,嘉義縣布袋鎮樹林頭22號,0937-713367,-,5間,NT$1500-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
梅宿一森青民宿,嘉義縣梅山鄉梅北村12鄰民生街45巷1號,05-2625388,-,3間,NT$1800-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
