旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
倍蒂雅汽車旅舘,臺中市北屯區河北路3段151號,04-22416162,-,31間,NT$5980-5980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
水悅麗緻會館,臺中市大里區永隆里永隆七街137號,04-24077666,http://www.shuiyuemotel.com/,25間,NT$1980-6680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
水瓶汽車旅館,臺中市南屯區南屯區大墩南路427號,04-24733938,http://www.aquariumotel.com.tw/,35間,NT$1680-13800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
友愛富豪國際大飯店,臺中市北區五權路317號6-12樓,04-22023220,http://www.rhotel.com.tw,77間,NT$8000-14000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2
橋王花園酒店,臺中市北屯區東山路2段77-11號,04-22399159,-,92間,NT$2600-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
久窩行旅-逢甲館,臺中市西屯區文華路43號(2-5樓),04-24511701,http://www.khotel.tw/,24間,NT$4500-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
巧合大飯店,臺中市中區建國路163號,04-22297161,-,123間,NT$3800-9800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2
情人谷民宿,臺中市豐原區東陽里東陽路清谷巷1號,04-25268830,-,3間,NT$4000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
草悟道漂鳥青年旅館,臺中市西區公益路201號4~7樓,04-23015518,http://www.straybirds.com.tw,36間,NT$4000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
富盛商旅,臺中市西屯區四川路138號,04-23693399,-,48間,NT$6000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
豪爵大飯店台中館,臺中市西區五權路1-23號,04-23729000,http://metrotaichung-hotel.tw,101間,NT$7000-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
台中金典酒店,臺中市西區健行路1049號,04-23288000,http://www.splendor-taichung.com.tw,222間,NT$8000-65000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),5
昭月民宿,臺中市東勢區慶福里慶福街39號,04-25855997,-,3間,NT$4200-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
奇異果快捷旅店-成功店,臺中市中區成功路165號,04-35090681,http://www.rs-kiwihotel.com/,39間,NT$5800-12800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嵩夏汽車旅館,臺中市大里區大明路480號,04-24077788,https://taiwanstay.net.tw/tourism_web/search.php?list_type=legal,33間,NT$1380-8560(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
伊麗莎白酒店,臺中市西區中美街471號3-9樓,04-23228899,http://www.elizabeth-hotel.com.tw,47間,NT$3800-7500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
花田民宿,臺中市新社區興中街17-6號,04-25823666,-,4間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
流星花園民宿,臺中市豐原區南嵩里水源路坪頂巷12號,04-25151456,-,5間,NT$3000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
佛羅倫斯別墅旅館,臺中市沙鹿區中山路121-1號,04-26652938,-,23間,NT$2980-2980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
星月文旅,臺中市后里區月眉北路482號,0965-725526,-,11間,NT$6000-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
怡達汽車旅館,臺中市東區旱溪東路1段429號,04-22111355,-,33間,NT$1880-6700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
臺中公園智選假日飯店,"臺中市中區自由路2段94號1,3,4,5,12,13樓",04-35059898,http://www.taichung.hiexpress.com/,168間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
荷米旅居,臺中市中區中山路320、322號,04-22292900,https://www.hommie-inn.com,36間,NT$4000-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
風緻精品時尚旅館,臺中市大里區永隆路428號,04-24180099,-,27間,NT$5980-10880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
橄欖樹農莊,臺中市新社區南華街31號,04-25931511,-,3間,NT$6800-7800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
旅巷輕旅,臺中市中區成功路10號5樓之1、6樓之1,04-22228187,http://www.loosha.com.tw,27間,NT$1000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
好望角大飯店,臺中市和平區梨山里民族街52號,04-25989512,-,34間,NT$600-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
永豐棧酒店,"臺中市西屯區臺灣大道二段689號B1-1至-3及9-12樓,東興路3段407號,409號2樓-1至13樓-20",04-23268008,http://www.tempus.com.tw,250間,NT$12600-50000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海德堡汽車旅館,臺中市沙鹿區北勢東路660巷1、3、5號,04-26334515,-,20間,NT$2800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福爾摩沙ㄤ婿文旅,臺中市北區成功路469號,0921-701789,https://taiwanstay.net.tw/tourism_web/search.php?list_type=legal,30間,NT$1460-1460(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鳥人創意旅店,臺中市北屯區經貿三路二段55號,04-24262777,http://www.bmmotel.com,33間,NT$880-9360(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
愛麗西施旅館,臺中市北區進化路632號,04-22300598,-,30間,NT$8000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
樂府大飯店,臺中市中區建國路89號5樓之1(5-11樓),04-22297181,-,66間,NT$880-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
采岩汽車旅館,臺中市北屯區崇德路三段111號,04-24228083,-,47間,NT$1360-6080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
水雲端旗艦概念旅館（精品商務館）,臺中市西屯區青海南街159號,04-24525678,-,54間,NT$25960-25960(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
臺中逢甲智選假日酒店,臺中市西屯區福星北三街33巷28號,04-27083911,-,96間,NT$4800-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
信東旅館,臺中市清水區中興街35-1號,04-26222126,https://taiwanstay.net.tw/tourism_web/search.php?list_type=legal,12間,NT$1000-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
奇異果快捷旅店-捷運文心店,臺中市西屯區文心路三段362號,04-23127766,http://www.rs-kiwihotel.com/web/summary/55,32間,NT$3600-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
回行旅,臺中市西屯區至善路188號,04-24522333,http://www.gogohotel.com.tw/,100間,NT$6500-11000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
夢樓旅店,臺中市西屯區河南路二段311、313號2至4樓、315號2至4樓,04-24528479,http://hoteldream.com.tw,21間,NT$6500-9500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
葉綠宿川閱,臺中市中區綠川西街123號8樓之1至12樓之1,04-22231789,-,60間,NT$2400-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
頭等艙飯店綠園道館,臺中市西區美村路一段22號4樓之1至4樓之104、5樓之1至5樓之104,04-23280707,http://www.airlineinn.com,57間,NT$6800-11200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
米卡沙旅店,臺中市東區復興路4段149巷5弄8號,04-22295353,http://www.mi-casa.com.tw,37間,NT$6900-15000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
西苑旅店,臺中市中區成功路114號1至6樓,04-22222568,http://gardenhotel1971.com,35間,NT$2400-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
楓采休閒商務汽車旅館,臺中市豐原區永康路211巷25弄76號,04-25282686,https://motel.mapleton.com.tw,30間,NT$2280-3580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
寶麗旅宿,臺中市后里區安眉路116巷103號,0980-168517,-,5間,NT$4200-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
傳思文旅,臺中市南區忠孝路150號1至7樓,04-22851702,-,27間,NT$1300-1300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
谷野民宿,臺中市和平區東關路1段裡冷巷36號,04-25942829,-,2間,NT$6800-10800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新驛旅店台中車站店,臺中市東區復興路4段133號,04-22232333,-,104間,NT$3600-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
銀河別舘,臺中市中區光復路151號11樓之3,04-22260467,-,13間,NT$1200-3900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
禾口三一景觀民宿,臺中市新社區華豐一街42-3號,04-25826816,http://river31.emmm.tw/,5間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
喜佳美商務飯店,臺中市南屯區大墩路329號,04-24736969,-,58間,NT$2340-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
清新溫泉飯店,臺中市烏日區溫泉路2號,04-23829888,http://www.freshfields.com.tw/,155間,NT$12000-58000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),5
THELINHOTELTAICHUNG林酒店,臺中市西屯區朝富路99號,04-22555555,https://www.thelin.com.tw/,292間,NT$13800-200000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
閒情驛棧民宿,臺中市石岡區梅子里豐勢路梅子巷17-10號,04-25871317,-,2間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
台中福華大飯店,臺中市西屯區安和路129號,04-24632323,http://www.howard-hotels.com.tw/taichung/home/,155間,NT$8200-40000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
羅馬假期汽車旅館,臺中市大里區勝利二路62號,04-24838588,-,36間,NT$1290-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
麗緹汽車旅館,臺中市北屯區綏遠路2段91號,04-22356955,http://www.litimotel.com.tw/zh-tw/,25間,NT$2800-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
雀客旅館台中中山,臺中市中區市府路66號、66號2~6樓(之1、之2)、66號7樓、66號7樓之1,04-37062680,https://www.checkinn.com.tw/?page_id=9682,32間,NT$4000-15000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
雲閒居民宿,臺中市新社區中興街112-5號,04-25931323,-,4間,NT$2800-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
承億文旅台中鳥日子,臺中市西區忠明南路98號B2-7樓,04-23292266,http://www.hotelday.com.tw,72間,NT$7800-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
達斯旅店,臺中市西屯區西平里逢甲路19巷16樓7樓之1,04-24515788,http://www.dazzinn.com/,28間,NT$3000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
惜福居民宿,臺中市東勢區東關路5段808巷206號,09-53303227,http://mmweb.tw/91478/,2間,NT$4000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
歐菲旅店,臺中市西區忠明南路333號、325號、325號2樓之1至之8,04-37007636,http://www.sthotel.com.tw,21間,NT$5500-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
夏都汽車旅館,臺中市北區太原路2段68號,04-22367788,http://www.xiadu.com.tw,33間,NT$1880-16680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
谷關溫泉飯店,臺中市和平區東關路一段溫泉巷6號,04-25951355,-,153間,NT$3899-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
香富大飯店,臺中市東區建成路700號,04-22808007,-,70間,NT$4600-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
紅磚小屋,臺中市外埔區甲后路四段598號,0988-297099,-,4間,NT$1900-2700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
碧根逢甲酒店,臺中市西屯區福星路427號1-11樓,04-24515828,http://www.beacon-hotel.com.tw/,130間,NT$2000-15000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
威汀城市酒店,臺中市大雅區民生路一段100號5樓,04-25680558,http://www.hotel-reve.com.tw,125間,NT$5200-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
長榮桂冠酒店(台中),臺中市西屯區臺灣大道二段666號,04-23139988,http://www.evergreen-hotels.com/branch/taichung,354間,NT$9000-90000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),5
川賦商旅,"臺中市豐原區向陽路77-1號1,9-13樓",04-25288777,https://www.chuanfuhotel.com.tw/,85間,NT$1900-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2
余舍行旅,臺中市西屯區環中路二段1129號,04-27061129,https://www.royalroihotel.com.tw/,58間,NT$7000-16000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
木佃軒民宿,臺中市新社區中和街一段6巷9號,04-25810777,http://www.mutianhsuan.com.tw,4間,NT$5500-13200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
日月千禧酒店,臺中市西屯區市政路77號,04-37056000,http://www.millenniumtaichung.com.tw/,243間,NT$20000-150000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),5
海頓汽車旅館,臺中市北屯區松竹南街1號,04-22469388,-,25間,NT$1880-8380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
星河商旅,臺中市中區綠川西街135號9樓之1,04-22255747,-,43間,NT$1280-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
台中兆品酒店(品臻樓),臺中市北屯區后庄路306號,04-24255678,http://taichung.maisondechinehotel.com/,100間,NT$5500-8250(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),4
神木谷假期大飯店,臺中市和平區東關路一段溫泉巷7號,04-25951511,-,31間,NT$3500-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
法格斯-石光,臺中市外埔區水頭二路32號,04-26836077,-,5間,NT$6800-12800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
天閣酒店台中THETango,臺中市南屯區大墩路525號,04-23200000,http://www.tango-hotels.com,125間,NT$8200-18000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
雲河概念旅館,臺中市南屯區黎明路二段708號,04-22552777,-,74間,NT$6880-18880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
挪威森林行旅1號館,臺中市中區建國路184號3至11樓,04-22293388,http://taichungtravelhotel1.villa-group.com.tw/,54間,NT$1680-9280(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
波波的家,臺中市和平區東關路一段松鶴二巷52號,0901-236935,http://www.bobohouse.com.tw,5間,NT$5000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
博客創意旅店,臺中市北區錦新街40號,04-22251491,http://www.boxdesignhotels.com,39間,NT$1980-20000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
梨山賓館,臺中市和平區梨山里中正路91、91-3、91-4、91-6號,04-22653939,http://www.lishanguesthouse.com.tw/,103間,NT$6000-20000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
六分園,臺中市外埔區六分里六分路中興巷3-2號,04-26832590,-,5間,NT$5200-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
龍谷大飯店,臺中市和平區博愛村東關路1段138號,04-25951369,http://www.dragonvalley.com.tw,189間,NT$3899-20000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
皇冠文旅,臺中市北區三民路三段125號6~8樓,04-22217015,-,74間,NT$6600-8400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
168行旅,臺中市梧棲區港埠路2段431巷22號,04-26578822,https://taiwanstay.net.tw/tourism_web/search.php?list_type=legal,48間,NT$4200-9200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
LAVIDAHOTEL逢甲商旅,臺中市西屯區西屯路二段275之2號,04-24517722,http://www.lavidahotel.com.tw,114間,NT$5880-5880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
塔木德國際旅館,臺中市北區柳川西路4段1號10樓,04-22066633,http://www.talmud.com.tw,33間,NT$4500-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金采商旅,臺中市中區綠川西街135號11樓之1,04-22255757,-,43間,NT$1600-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
星漾商旅,"臺中市北區錦南街17號,錦新街30號4-9樓,,32號4-9樓",04-22289008,http://www.stayhotel-taichung.com.tw,96間,NT$5400-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
紅點文旅,臺中市中區民族路206號,04-22299333,https://www.reddot-hotel.com,55間,NT$4300-7800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
台中港酒店,臺中市梧棲區大智路二段388號,04-26568888,http://www.tchhotel.com,200間,NT$8800-68000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),4
和樂商務旅館,臺中市西屯區朝馬路21號,04-22555633,https://www.holamotel.com.tw/,48間,NT$1980-10360(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福爾摩沙草悟道酒店,臺中市西區向上路1段95號11-14樓,04-23028008,http://www.23023033hotel.com.tw/,51間,NT$4000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芭蕾城市渡假旅店,臺中市南屯區向上路三段221號,04-23832888,https://www.villaballet.com/,55間,NT$2580-22080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
立中大飯店,臺中市西屯區大恩街38號,04-23206129,-,49間,NT$1600-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
若茵民宿,臺中市和平區中坑路中坑巷2-12號,04-25971218,-,3間,NT$13200-13200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
雀客旅館台中自由,臺中市中區自由路2段52之1號(1至7樓),04-22225025,http://www.dp-hotel.com,48間,NT$3760-6360(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
山沐斯達,臺中市新社區崑山里崑南街29-7號,04-25812481,http://www.smst.com.tw,4間,NT$8000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新瑞士大旅店,臺中市和平區梨山里中正路11號,04-25989752,-,34間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
山頂上民宿,臺中市東勢區茂興里東蘭路197-57號,04-25877212,-,4間,NT$2000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
慕戀商旅,臺中市中區光復路42之3號,04-22292922,-,70間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
旅幸福-台中館,"臺中市中區繼光街166號1樓,4樓之1,6樓之1",04-22268811,-,58間,NT$15000-17000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
高鐵戀館,臺中市烏日區新興路15號,04-23387808,https://www.shantirmotel.com.tw/,20間,NT$9600-9600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
愛萊時尚旅館,臺中市西區五權路2-55號,04-23722161,-,78間,NT$2160-3360(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
五都大飯店,臺中市豐原區三豐路一段2號、東北街3號,04-25285168,-,120間,NT$12800-38000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
西悠飯店台中店CUHOTEL,臺中市北區進化北路429、431號、梅川西路三段109號3至6樓,04-22035666,http://www.toongmao.com.tw,140間,NT$6400-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
心媞休閒旅館,臺中市北區北區北平路1段2號,04-22970177,http://www.shiningmotel.com.tw/,27間,NT$2780-7960(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東海小時光,臺中市龍井區新興路東興巷45號,0982-919680,-,5間,NT$5000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
艾菲爾文化旅店,臺中市梧棲區臨港路四段298號,04-26577577,http://www.affairmotel.com.tw,28間,NT$4200-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
麗加園邸酒店,"臺中市西區公益路111號1-5樓及模範街37,39號1-5樓",04-23057581,https://lichia.fhotels.com.tw/,66間,NT$4500-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
佳園民宿,臺中市新社區協中街189-2號,0933-001033,-,3間,NT$2400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
米力行旅台中火車站館,臺中市東區大勇街69號2、4樓,04-22259966,http://www.minihotels.com.tw/,74間,NT$5000-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
婧仕女微旅,臺中市西區大和路3號1至7樓,04-23289977,-,24間,NT$1320-1920(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
漢彌敦大飯店,臺中市西區華美街303-1號,04-23027890,-,46間,NT$4800-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
樹之間,臺中市東勢區東蘭路石排巷33之2號,0938-705974,-,2間,NT$3200-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
卡爾登飯店台中館,臺中市西區忠明南路61號,04-23219258,-,105間,NT$3400-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
全國大飯店,臺中市西區館前路57號,04-23213111,http://www.hotel-national.com.tw/,178間,NT$5600-50000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
曾家邨,臺中市太平區東汴里山田路長青巷30號,04-22751236,http://www.tsengvillage.com.tw,5間,NT$3000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
博奇大飯店,臺中市中區雙十路一段5號,04-22296151,-,134間,NT$1200-12800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2
杜拜風情時尚旅館,臺中市大雅區神林南路568號,04-25654228,-,29間,NT$6560-11960(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
巴里島汽車旅館,臺中市北屯區昌平東五路80號,04-24211909,-,36間,NT$1020-5280(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
挪威森林漫活休閒旅館,臺中市太平區環中東路四段369號,04-22762888,http://taichung.villa-group.com.tw/,75間,NT$4780-10680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
挪威森林行旅3號館,臺中市中區建國路187號,04-22212288,http://taichungtravelhotel3.villa-group.com.tw/index.html,37間,NT$1380-8980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
立勤大飯店,臺中市潭子區潭陽里中山路二段345號,04-25324131,-,33間,NT$1400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
綠宿行旅,臺中市西區民生北路126號、126號2樓、3樓之1、3樓之2、4樓之1、4樓之2、5樓至7樓,04-23010011,http://www.greenhotel.com.tw,36間,NT$4200-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
