旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
加州莊園民宿,苗栗縣南庄鄉蓬萊村9鄰42份8-39號,0952-401248,http://www.calvilla.com.tw,5間,NT$3600-5700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
湯神民宿,苗栗縣大湖鄉大寮村12鄰大窩1-10號,037-991948,http://www.ts-spa.com.tw/,3間,NT$6600-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
桂橘園民宿,苗栗縣獅潭鄉永興村3鄰永興16-7號,037-932587,-,5間,NT$2200-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
楓葉地圖民宿,苗栗縣大湖鄉東興村5鄰上湖108號,037-997299,-,4間,NT$5600-8600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
翡翠別館,苗栗縣南庄鄉員林村15鄰屯營68號,0901-308866,-,3間,NT$10000-18800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
觀霧山莊,苗栗縣泰安鄉梅園村觀霧8號,037-268818,http://www.guanwuvilla.com/,33間,NT$4800-15400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
土牧驛健康農莊,苗栗縣泰安鄉八卦村4鄰八卦力59-3號,037-941087,http://tumuyi.com.tw,5間,NT$3200-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
綠庭商務旅館,苗栗縣苗栗市中正路462號5樓,037-358789,-,12間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
遊桐花休閒汽車旅館,苗栗縣後龍鎮龍坑里十班坑155-16號,037-733669,-,25間,NT$2500-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
南庄橄欖樹咖啡民宿,苗栗縣南庄鄉蓬萊村9鄰42份7-6號,0919-822379,-,4間,NT$6100-6100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
欣達休閒旅館(在飛牛牧場內),苗栗縣通霄鎮南和167-1號,"037-782844,782999",http://www.flyingcow.com.tw,49間,NT$3300-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
三義幸福小築館前民宿,苗栗縣三義鄉廣盛村39鄰八股路館前2巷1-2號,0931-602121,-,2間,NT$1600-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
容園谷景觀渡假山莊,苗栗縣南庄鄉蓬萊村18鄰紅毛館17號,037-823330,-,4間,NT$3500-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
慕哲哈比屋,苗栗縣三義鄉廣盛村34鄰重河路324之12號,037-872935,http://www.maisonphilo.tw/,4間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
巧克力雲莊,苗栗縣大湖鄉富興村4鄰水尾坪82號,037-996916,-,5間,NT$8000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
百合山莊,苗栗縣南庄鄉南江村17鄰福南50號,037-825822.23,-,5間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
通霄三合院農庒,苗栗縣通霄鎮通灣里1鄰通灣9之1號,0921-577510,http://www.facebook.com/sunheryou/,4間,NT$3800-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東里家風,苗栗縣苑裡鎮苑坑里2鄰苑坑8號,037-853158,-,5間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
丸松大旅社,苗栗縣苗栗市中山路658號,037-320283,-,28間,NT$800-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
喆娟夢田,苗栗縣三義鄉龍騰村1鄰龍騰9-1號,037-878388,-,4間,NT$3800-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
向陽田園,苗栗縣三義鄉龍騰村1鄰龍騰9-5號,037-874028,-,3間,NT$2300-2300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
閱微森林,苗栗縣南庄鄉東村16鄰南庄83之1號,0921-776035,http://www.spring-villa.com/,4間,NT$7200-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
湯悅溫泉會館,苗栗縣泰安鄉錦水村橫龍山45號,037-941941,-,4間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
響水客棧,苗栗縣公館鄉開礦村13鄰開礦193號,0923-124902,http://soundwater.hi-bnb.com/,4間,NT$3000-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
栗田庄,苗栗縣南庄鄉南江村14鄰小東河17-2號,037-824978,-,5間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馨藝庭園民宿,苗栗縣西湖鄉高埔村2鄰大窩10之9號,037-987558,-,3間,NT$5000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
21杉林別墅,苗栗縣南庄鄉南江村19鄰南江9之2號,037-821258,http://www.araucaria-villa21.tw,5間,NT$8000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
茗緣居民宿,苗栗縣三義鄉雙潭村8鄰雙連潭100號,0988-247872,http://www.tea-fate.com.tw/,2間,NT$2400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
水漾西湖,苗栗縣三義鄉西湖村2鄰西湖21之1號,037-878528,-,2間,NT$5000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
南江璞園,苗栗縣南庄鄉南江村3鄰東江31-8號,037-825925,http://www.037825925.com.tw,5間,NT$2600-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
八角居所民宿,苗栗縣獅潭鄉新豐村6鄰八角坑2之1號,0963-577866,http://www.aroundthetree.com.tw,4間,NT$12000-16000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
湯唯民宿,苗栗縣泰安鄉錦水村10鄰橫龍山72-2號,037-941081,-,4間,NT$3500-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
杉林松境,苗栗縣南庄鄉東河村12鄰橫屏背26號,037-824578,-,5間,NT$3300-3900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
釣魚的貓,苗栗縣通霄鎮福興里13鄰福興148之12號,0952-783738,-,2間,NT$2700-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
楓林時尚汽車旅館,苗栗縣公館鄉五谷村2鄰五谷二路216號,037-228988,-,26間,NT$6500-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
F商旅三義館,"苗栗縣三義鄉廣盛村復興路16-1號B1-8樓,16-2號1-8樓",037-878788,http://sanyi.fhotels.com.tw/,43間,NT$8000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
尚順君樂飯店,苗栗縣頭份市育樂街6號,037-539555,http://www.groyalhotel.com/,218間,NT$7000-52800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),4
侑橘休閒農園,苗栗縣三灣鄉永和村8鄰北坑12-1號,037-832779,http://www.sunoranges.com,5間,NT$3500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
國賓大旅社,苗栗縣通霄鎮中正路105號,037-752176,-,10間,NT$700-900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
峯州小木屋,苗栗縣三義鄉龍騰村13鄰龍騰6-7號,037-876921,http://www.e-motel.com.tw,1間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
陶然渡假山莊,苗栗縣南庄鄉蓬萊村9鄰42份8-5號,037-823015,-,5間,NT$4200-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
伽芝萊民宿,苗栗縣通霄鎮福興里13鄰福興148-6號,037-783918,-,5間,NT$4800-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
毓琇圖書山莊,苗栗縣南庄鄉南江村9鄰里金館35號,037-823939,-,5間,NT$2200-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
麥克尼景觀莊園,苗栗縣南庄鄉東村17鄰南庄121號,037-821859,-,4間,NT$4600-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
日光呼吸,苗栗縣頭屋鄉明德村2鄰明德43-1號,037-256889,-,2間,NT$6000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
日光森林,苗栗縣大湖鄉大南村2鄰小南勢2之2號,0927-940227,https://sunlightforest.ego.tw/,4間,NT$4600-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
松緣民宿,苗栗縣南庄鄉田美村2鄰田美22-22號,0921-760366,-,4間,NT$3000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
米南汽車旅館,苗栗縣苗栗市新英里新英76號,037-335088,-,45間,NT$2800-2900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
錦水溫泉飯店,苗栗縣泰安鄉錦水村橫龍山72號,037-941333,http://www.kingspa.com.tw,83間,NT$4950-11000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
樹也民宿,苗栗縣三義鄉龍騰村5鄰外庄27-1號,037-881712,-,4間,NT$22000-22000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
采莓行館,苗栗縣大湖鄉大湖村中山路37號,037-993133,-,16間,NT$3000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
宜家園,苗栗縣南庄鄉南江村14鄰小東河1-1號,037-825289,-,4間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
三義幸福小築民宿,苗栗縣三義鄉廣盛村40鄰八股路館前5巷1-7號,037-871280,-,4間,NT$2000-3900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
水岸明珠,苗栗縣南庄鄉西村11鄰大屋坑32-5號,037-822268,-,3間,NT$5200-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
眉山居,苗栗縣南庄鄉田美村6鄰田美106號,0928-015017,http://www.mschi88.com,5間,NT$2500-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
初夏汽車旅館,苗栗縣公館鄉館南村通明街182巷9號,037-237889,-,12間,NT$3200-6980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金成山莊,苗栗縣南庄鄉東村2鄰東江26號,037-823929,-,1間,NT$3800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新興旅社,苗栗縣苗栗市建國街3號,037-260133,-,15間,NT$700-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
松鶴祥和居民宿,苗栗縣公館鄉仁安村9鄰仁安118-3號,0921-951213,-,3間,NT$2500-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
老寮民宿,苗栗縣南庄鄉南江村22鄰南江街50號,0963-143945,-,2間,NT$2400-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
湖畔花時間,苗栗縣大湖鄉義和村8鄰淋漓坪126號,037-996795,-,3間,NT$4000-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
好珈農莊,苗栗縣三義鄉龍騰村8鄰外庄62之6號,037-881766,http://www.facebook.com/hokataiwan,5間,NT$5000-14000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
綠丘行旅,苗栗縣通霄鎮城南里5鄰城南66之5號,037-783858,-,5間,NT$4500-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金龍大旅社,苗栗縣後龍鎮北龍里中山街88-11號,037-722315,-,12間,NT$1000-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
紅磚屋特色民宿,苗栗縣南庄鄉南江村9鄰里金館32-3號,037-824877,http://www.rbvillas.com.tw,15間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馥藝金鬱金香酒店,苗栗縣竹南鎮公園路106號,037-539888,https://www.goldentulip-aesthetics.com.tw/,191間,NT$6400-32800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
愛麗舍精品旅館,苗栗縣頭份市中華路1489號,037-590088,https://motel.elysees.biz,27間,NT$5800-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
泰莉莎旅店,苗栗縣頭份市中華路1091號4樓之1,037-673757,-,26間,NT$1100-1700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
苗栗松鶴陶然居民宿,苗栗縣公館鄉仁安村9鄰仁安118-7號,0932-625075,-,3間,NT$3000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芝柏山汽車旅舘,苗栗縣竹南鎮四維街90號,037-625789,http://www.cpmmotel.com,39間,NT$1980-2580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
燕子陶,苗栗縣南庄鄉南江村19鄰南江6之3號,0919-703015,-,3間,NT$5000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
藝欣山莊,苗栗縣南庄鄉東村中正路138號,037-825868,-,3間,NT$2500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
南庄好山好水民宿,苗栗縣南庄鄉蓬萊村4鄰紅毛館53-6號,037-825789,http://www.gmgw.com.tw,5間,NT$2800-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
逗號民宿,苗栗縣南庄鄉南江村17鄰福南58號,0975-820058,-,4間,NT$8000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
王府大飯店,苗栗縣苗栗市為公路三東巷3號,037-273055,http://www.wang-fu.com.tw,58間,NT$2800-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
月心汽車旅館,苗栗縣苗栗市經國路四段505巷9號,037-277756,http://sm.wi-fi.net.tw/about.asp,16間,NT$2600-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
勻淨湖民宿,苗栗縣大湖鄉新開村3鄰新開70之2號,037-951007,-,2間,NT$7800-9800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馨雅民宿,苗栗縣三義鄉廣盛村37鄰廣聲新城21號,037-870551,-,3間,NT$2000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
翡翠金鑽民宿,苗栗縣竹南鎮大埔里1鄰大埔街131號,037-582131,https://www.feitsuei-jintzuan-ruyihotel.com.tw,5間,NT$5600-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
草山境,苗栗縣公館鄉開礦村2鄰開礦26之10號,0933-533195,-,5間,NT$8800-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
力新小築,苗栗縣南庄鄉南江村5鄰東江100號,037-822179,http://www.lisin.com.tw,5間,NT$4800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
銅鑼有一種慢,苗栗縣銅鑼鄉銅鑼村39鄰雙峰路文園巷86之3號,0988-683729,-,4間,NT$3600-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
橘子民宿,苗栗縣竹南鎮竹南里7鄰民治街12號,0917-265133,https://www.shop1688.com.tw/aom20200930034,3間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
天花湖民宿,苗栗縣頭屋鄉飛鳳村3鄰飛鳳40-1號,037-253571,-,3間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
合谷民宿,苗栗縣南庄鄉蓬萊村1鄰紅毛館1之1號,0905-234117,https://booking.owlting.com/hogu.retreat,3間,NT$4600-8600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
莎力畝民宿,苗栗縣泰安鄉中興村5鄰司馬限19號,0972-910536,https://www.lokah-salimu.com.tw/,1間,NT$10000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
印象莊園民宿,苗栗縣西湖鄉高埔村3鄰大窩20之9號,037-981618,-,3間,NT$5000-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
禾家商旅,苗栗縣苗栗市建功里忠孝路77號,037-356666,http://he-jia-hotel.com.tw,20間,NT$6000-18000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
翡翠如意民宿,苗栗縣竹南鎮大埔里1鄰大埔街129號,037-676803,-,5間,NT$5200-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
崎頂新樂園,苗栗縣竹南鎮崎頂里北戶39號,037-472887,https://chiding168.com/,25間,NT$3200-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
竹豐旅社,苗栗縣竹南鎮和平街95號,037-472120,-,13間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
小樹枋民宿,苗栗縣三義鄉廣盛村41鄰八股路館前7巷1之19號,0919-715816,-,2間,NT$3200-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福田瓦舍,苗栗縣三義鄉龍騰村1鄰龍騰26號,037-876156,http://www.futen-house.com.tw,4間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
欣悅商務旅店,苗栗縣頭份市自強里中華路1319號1-5樓,037-663388,-,35間,NT$2400-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
享沐時光,苗栗縣苑裡鎮石鎮里錦山8-1、8-2號,037-742878,https://www.facebook.com/LaShineMoodResort/,90間,NT$9800-36000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
